,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Psip1,1.6285115344777903,0.6314217486573214,0.9970897858204689,1.3959924917344446,1.0908308358868322,9.582629848036873e-05,0.0008143878057821704,3.089168737857468,True
Gria3,1.1424385258783518,0.1483182833648093,0.9941202425135425,2.973794477903027,0.718419413559595,3.6714799556211964e-05,0.00036592823477952125,3.4366040793467905,True
Smc3,1.6328251522805313,0.6388079540473091,0.9940171982332222,1.3829952725366788,1.0947877382210751,1.1581892708133311e-05,0.00014326866682170628,3.843848780393696,True
Stk17b,0.7166473830745617,-0.25622062916765537,0.9728680122422171,,0.2989085685517092,0.00027242580997487403,0.0019598979134883023,2.7077665494411547,True
Snn,0.9583874628907019,-0.006562038513265707,0.9649495014039676,,0.5616074006556033,1.8995689313792891e-06,3.352180467139922e-05,4.474672608844481,True
Rbbp7,1.7416315533679574,0.7804690990045736,0.9611624543633838,1.1858470065342421,1.1769931037795462,8.126860737883457e-05,0.0007149730854442924,3.1457103065388248,True
Zcchc11,1.249060866371813,0.2920446701363303,0.9570161962354827,2.1304902920755335,0.8241998413927745,6.410833125125353e-06,8.862902937961317e-05,4.0524240068435535,True
Lynx1,0.8603471103351269,-0.09602978784283286,0.9563768981779598,,0.4669232355919614,6.655272789146656e-06,9.158632278642187e-05,4.038169377662811,True
Cdk4,1.6438846574341026,0.6878879458104031,0.9559967116236995,1.2860406581524584,1.1149575105403784,1.4400213540009503e-05,0.00016809587789894361,3.7744429363385925,True
Supt16,1.5775912753823784,0.6230587420314333,0.9545325333509451,1.370410663783678,1.0706125908292243,3.6306365475973125e-06,5.6434764988559256e-05,4.2484532791492144,True
Hnrnpd,1.702479489611839,0.7485217179808397,0.9539577716309993,1.2139016094666373,1.154129892205085,2.473185639563613e-05,0.0002603353304803803,3.584466889165223,True
Jakmip1,1.1302837164902946,0.1776749357608039,0.9526087807294907,2.7014994323762855,0.7259412016902334,1.4590498200875006e-06,2.68536776703221e-05,4.570996228305108,True
Ripor2,1.0264683060128323,0.0758335474610155,0.9506347585518169,3.774222468286217,0.6333390672002187,1.0592961666486646e-06,2.011321835408857e-05,4.696518431561879,True
Dnajc2,1.8434873003849856,0.8984209287807523,0.9450663716042333,1.0635559133166321,1.2454677424047726,0.0010870045557056474,0.005886306258333831,2.2301571457626954,True
Pmaip1,0.9570317967813472,0.013594684867149197,0.943437111914198,5.996285352679398,0.5707672160955153,0.0006070483404342943,0.0036940061284034134,2.4325023883950796,True
Il1r1,1.0679187816665083,0.13878770472933796,0.9291310769371703,2.9742541485612906,0.6810923082541401,1.165251823483211e-05,0.00014326866682170628,3.843848780393696,True
Msi2,1.409388287673098,0.48147577744962977,0.9279125102234683,1.582396454611586,0.9600905778437753,0.0005424158252583033,0.003411420284643417,2.467064772513628,True
Cks1b,1.7393996967179577,0.8139230684506799,0.9254766282672778,1.1236376887272364,1.1869197293337794,0.0012098717699382039,0.006401437936180972,2.193722460765324,True
Samsn1,1.115250241209631,0.19234590505484586,0.9229043361547852,2.5695842399006845,0.7257830938351424,0.0025209351582728217,0.011204156258990319,1.9506208429095173,True
Kmo,0.7697686489259848,-0.15247657691638256,0.9222452258423675,,0.3880749283324131,4.788401304544004e-09,2.4767592954537953e-07,6.6061161983942736,True
Chd3os,0.9516099203161563,0.02975728323354431,0.921852637082612,4.9623732525522355,0.5759740774808394,1.165251823483211e-05,0.00014326866682170628,3.843848780393696,True
Chd3,1.1255781713064223,0.20582661511059394,0.9197515561958284,2.485687946329541,0.73613066109008,2.5318796053961404e-05,0.00026558177678980493,3.5758017279152647,True
Nucks1,1.863477346310341,0.9481402801317707,0.9153370661785702,1.001258452717234,1.2665219978018996,0.0010084527916650776,0.005551116284394923,2.2556196750024773,True
Fh1,1.185723074401987,0.2734725841975604,0.9122504902044267,2.151840489706963,0.7904366175582254,1.529241140873154e-05,0.00017510394742822373,3.756704063357036,True
Mcm2,1.5306019596953628,0.6195122228526067,0.9110897368427562,1.3360490685026571,1.0531510300329519,0.00022733987278724229,0.001667529629246276,2.7779264406474913,True
Hnrnpa2b1,1.7011742000637264,0.8000406025534691,0.9011335975102573,1.1170380737634846,1.1703144132629517,0.0012908151086925227,0.006758194286348287,2.170169327169571,True
Il4i1,0.3229155628068804,-0.5748086622580175,0.8977242250648979,,-0.19420658851616684,1.7734185368585312e-10,1.9000912894912832e-08,7.7212255329577495,True
Cdca7,1.6329356596683353,0.7393876840887446,0.8935479755795908,1.172754568034412,1.1284000957000102,0.00035871147706097856,0.0024681982366581093,2.6076199622930525,True
Fkbp4,1.8466219884076052,0.9611967352854605,0.8854252531221447,0.9687260425581211,1.2653825010076378,0.00543679564615728,0.020413500548775772,1.6900825151927936,True
