,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
NP_601,0.2415085760334098,0.27781169051329024,-0.03630311447988044,-0.20357196734234465,0.3330345351681325,0.8499869840201384,0.9805111507421629,0.00854746300766699,False,NP
NP_599,0.10801667217971667,0.14473298913065902,-0.03671631695094235,-0.4223155916896295,0.17168700178791876,0.3953369025110085,0.7846893897163331,0.10530221972261862,False,NP
Hoxd12_409,0.2527409906092351,0.2895262323569211,-0.03678524174768599,-0.19754658040439738,0.346115682973048,0.7155773665534289,0.9555170737487284,0.01976154830691744,False,Hoxd12
Sp3_802,0.22157633166858065,0.2585566732624576,-0.036980341593876975,-0.22419369649543178,0.3104174917448511,0.7759063410674061,0.9638436868745851,0.01599339289414213,False,Sp3
Rfx6_705,0.1424341924588649,0.17964653525595684,-0.03721234279709193,-0.33593209196525603,0.2154181287277416,0.4135429655573811,0.7860881371155392,0.10452875762854057,False,Rfx6
Hoxa10_395,0.09385939348441855,0.13116294968963932,-0.03730355620522077,-0.4820591252184445,0.15381982337097472,0.6342857933014405,0.9216475612716155,0.035435121741128346,False,Hoxa10
Gm5294_338,0.09039185222125003,0.1278202368342017,-0.037428384612951685,-0.49883162342679616,0.14939731193798866,0.5652595644025185,0.9011779824034007,0.04518942750914534,False,Gm5294
Foxl1_364,0.09039185222125003,0.1278202368342017,-0.037428384612951685,-0.49883162342679616,0.14939731193798866,0.5652595644025185,0.9011779824034007,0.04518942750914534,False,Foxl1
Tbp_772,0.148461643224009,0.1859047673184872,-0.0374431240944782,-0.3256073837650471,0.22303102941864342,0.8548901076198677,0.9805111507421629,0.00854746300766699,False,Tbp
Tbpl2_773,0.148461643224009,0.1859047673184872,-0.0374431240944782,-0.3256073837650471,0.22303102941864342,0.8548901076198677,0.9805111507421629,0.00854746300766699,False,Tbpl2
Gsx2_502,0.10591002783195229,0.1436579408828305,-0.0377479130508782,-0.4397338627723228,0.16964795733543783,0.5849171805731243,0.9024083884809244,0.04459687628843173,False,Gsx2
Lhx6_458,0.04897942921851368,0.08689187722520869,-0.037912448006695014,-0.8169480087748862,0.09482472233032807,0.5969104472899942,0.9024083884809244,0.04459687628843173,False,Lhx6
NP_585,0.04897942921851368,0.08689187722520869,-0.037912448006695014,-0.8169480087748862,0.09482472233032807,0.5969104472899942,0.9024083884809244,0.04459687628843173,False,NP
Cdx4_481,0.18930288136489773,0.22752058618460322,-0.03821770481970549,-0.26669720076604864,0.27311209793093744,0.5914996268890794,0.9024083884809244,0.04459687628843173,False,Cdx4
Cdx1_448,0.18930288136489773,0.22752058618460322,-0.03821770481970549,-0.26669720076604864,0.27311209793093744,0.5914996268890794,0.9024083884809244,0.04459687628843173,False,Cdx1
Six3_516,-0.23705479823630163,-0.19829243866293017,-0.03876235957337146,0.26318495644010553,-0.3541574786479041,0.6096224298032851,0.9075157839101693,0.042145812787191324,False,Six3
Irf7_633,0.3051776875204547,0.3453617738401375,-0.04018408631968279,-0.17981322092178487,0.4062860196846107,0.7880427247560844,0.9638436868745851,0.01599339289414213,False,Irf7
Arid3a_7,0.4266967335715028,0.4673140814854064,-0.04061734791390359,-0.13234973653064264,0.5330703133001198,0.411067429749599,0.7860881371155392,0.10452875762854057,False,Arid3a
Zfp263_876,-0.2280586326169962,-0.18709827764664955,-0.04096035497034664,0.29172486521938473,-0.335659989203219,0.5583501116659754,0.9011779824034007,0.04518942750914534,False,Zfp263
E2f7_260,0.3471890748899211,0.38921162637638396,-0.042022551486462834,-0.16609377391637253,0.4522795048589726,0.4387798541885428,0.8079411928899682,0.09262024879574612,False,E2f7
Foxo6_321,0.029507675938738823,0.07158589142384435,-0.04207821548510553,-1.2477676869129637,0.07114041054224277,0.6729981188562022,0.9303829793592012,0.031338243290347643,False,Foxo6
Hoxc8_405,0.16433104290223505,0.20680551637755593,-0.04247447347532088,-0.332625912174126,0.24557875338187884,0.6045231913457818,0.9075157839101693,0.042145812787191324,False,Hoxc8
Zfp282_170,-0.04082106749369091,0.001694747341108514,-0.04251581483479942,,-0.02850340038406224,0.4013510680722253,0.7846893897163331,0.10530221972261862,False,Zfp282
Klf15_806,0.16149136986728121,0.20501820342042434,-0.04352683355314313,-0.34514537736043255,0.24276075825069535,0.16800154587492322,0.5771173993268909,0.23873583208927837,False,Klf15
Patz1_153,0.040136496338530635,0.08374123668757211,-0.04360474034904147,-1.042858330641301,0.0867007157493571,0.3637932810132861,0.7806950702036942,0.10751856303327859,False,Patz1
Sox12_741,-0.09061623897469319,-0.046832155978870804,-0.043784082995822385,0.9914897011687981,-0.10271960163959865,0.3566810923677588,0.7729550945168631,0.11184573605582923,False,Sox12
Hoxd13_408,0.1302575926207826,0.17409101956104564,-0.04383342694026304,-0.4186620197404235,0.20435899066061156,0.43724112041750185,0.8079411928899682,0.09262024879574612,False,Hoxd13
Nfatc3_702,-0.16017151789260514,-0.1162776829545544,-0.04389383493805074,0.47368778282205476,-0.21461617933029786,0.5972719680986092,0.9024083884809244,0.04459687628843173,False,Nfatc3
