,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Jchain,0.9447560738031991,-0.07487863196447955,1.0196347057676787,,0.5209891279020539,0.007582908789929221,0.04047816080033392,1.392779228688323,True
Cyth4,0.6044212153523382,-0.4140581697177695,1.0184793850701077,,0.13117001171142548,0.002076618730603043,0.015121010174294002,1.8204191943859378,True
Tpm2,0.9150799759892608,-0.09334065458603315,1.008420630575294,,0.4965847146928533,0.004907665645119989,0.028868621441882285,1.5395739544108655,True
Lactb,0.80752505515506,-0.19642613033969142,1.0039511854947514,,0.38465711702914834,3.506137806822936e-05,0.000615071800605157,3.2110741837587455,True
Zeb2,-0.020306736161530763,-1.0194780678662858,0.999171331704755,,-1.0585703272097093,0.0015017782787026274,0.012046349829165462,1.9191445289563964,True
Mndal,0.7876835275689957,-0.19864142754470682,0.9863249551137026,,0.3724184248758915,7.918762022007475e-06,0.00022765373737027952,3.6427252155250605,True
Nasp,2.0028790073079974,1.0225283472335227,0.9803506600744747,0.9945569772266858,1.3292405444622275,0.0028720256127430263,0.01923231437104705,1.7159684506499449,True
Tmem173,0.9286729024146303,-0.04782797086612528,0.9765008732807556,,0.5264920060351304,4.485861598858063e-05,0.0007435129721864193,3.1287114498725805,True
Apobec3,1.4569755019898414,0.4960563562409782,0.9609191457488632,1.586186271724759,0.9829595821563648,0.00013263387439537504,0.0017763465320809156,2.750472307538266,True
Ptpn6,0.7256497352927431,-0.22584413907258602,0.9514938743653292,,0.3218159043776102,4.284767134865528e-06,0.00015302739767376886,3.815230807134578,True
Stap1,0.915202033833656,-0.03617799457264653,0.9513800284063025,,0.5255798351597196,0.0008627618106399799,0.007703230452142678,2.1133271094610326,True
Trp53i11,0.9601880249628697,0.009488078610104367,0.9506999463527653,6.441769078616552,0.5703055878439056,8.308100985416669e-05,0.0011925503806818184,2.923523264623339,True
Cd72,0.6565751860246638,-0.2926901526740375,0.9492653386987013,,0.24115987229710084,6.223966553515785e-05,0.0009575333159255054,3.0188461064759022,True
Selenoh,1.5651661218294497,0.6170238782062771,0.9481422436231726,1.373272241153104,1.0642586061366404,3.713954132888142e-05,0.0006403369194634727,3.1935914576369853,True
Tns1,0.7386335120046341,-0.20761942887246038,0.9462529408770946,,0.3397155349509366,7.861979864556026e-05,0.00114494852396447,2.941214038442628,True
Cmya5,0.9884492093062647,0.05176425181146823,0.9366849574947964,4.255519752890579,0.6041726225124201,0.00018057011931346093,0.0022477608213293887,2.6482499028463597,True
Gm16152,0.9804648225512355,0.05054924246166806,0.9299155800895674,4.27723601304317,0.5998005467699773,5.050997229301778e-06,0.00017417231825178544,3.7590208676165173,True
Lmo1,1.1104925697831889,0.18578991132505399,0.9247026584581349,2.6131297107282303,0.7208398822757759,1.5109846342875547e-05,0.00035290151635487485,3.4523464755500903,True
Tspan2os,0.9341349396696952,0.010696486961898491,0.9234384527077967,6.259340094763267,0.5581850510596956,0.00400353986412163,0.024764164107968844,1.6061763266527866,True
Ifi27l2a,0.5957347418568254,-0.3186663581167318,0.9144010999735572,,0.18717761839648964,0.0013578879191108442,0.011160722622828856,1.9523076852418948,True
Ctsz,0.22093186325557773,-0.6924641378401524,0.91339600109573,,-0.3879139108923605,0.0006820807694022633,0.0064145526903034164,2.19283362314036,True
Cd300c,0.8620871618282908,-0.051171534424859964,0.9132586962531508,,0.4910401503552269,0.00041293460901401766,0.00425705782488678,2.370890450631253,True
Actb,0.18563567893831417,-0.7209844205200482,0.9066200994583624,,-0.44944280814737014,0.0002508641139117703,0.0029283748705654124,2.533373328639261,True
Ifi203,0.7836440614509439,-0.12272775653652404,0.9063718179874679,,0.411923133289918,0.0022389941352099437,0.015841939635919414,1.8001916458774676,True
Bmyc,0.9719472918720398,0.07120152635901128,0.9007457655130284,3.786921611182292,0.6055648872781271,5.0825227290092924e-05,0.0008197617304853698,3.0863123600216764,True
Rab30,0.8574643748125598,-0.04045240469693394,0.8979167795094937,,0.494165694060647,6.4913368520907616e-06,0.00020498958480286614,3.6882682042005928,True
Tagap,0.8916045632093687,-0.00583346444902645,0.8974380276583951,,0.5289568688588491,4.638223080939179e-09,1.3914669242817535e-06,5.856527112558572,True
Ssrp1,1.6087017222810394,0.7173568732212509,0.8913448490597885,1.1952039818235938,1.1130532064159488,0.0028350077967912437,0.019026897965041905,1.7206320107922526,True
Ddt,0.5709384095074409,-0.31465959132168053,0.8855980008291214,,0.17394535885329135,2.998785504333176e-05,0.000555140247385911,3.255597285397414,True
Kif23,1.1303441252246247,0.2453466462984552,0.8849974789261694,2.2404288304864384,0.7551827527349854,0.0017758073433685937,0.013453085934610557,1.871178083643,True
Bex6,1.1173400547608008,0.2349546421929963,0.8823854125678045,2.2862109334325695,0.7451489805246319,0.0009047064542961593,0.0079128844399081,2.1016651766807692,True
Tcf7,0.7729266000251628,-0.10817824600037738,0.8811048460255402,,0.4139992982594111,1.4057410901493164e-05,0.00033737786163583596,3.4718834187381105,True
Gpr171,0.8226704861008608,-0.05674912721170202,0.8794196133125628,,0.46776013813934986,0.0009004284828798894,0.007898495463858679,2.1024556269338945,True
H3f3a,0.5687963222727309,-0.30254954824943014,0.8713458705221611,,0.18030496631079082,1.912071873427552e-06,8.491128230527824e-05,4.071034600481773,True
Laptm5,0.3489007956158717,-0.5168196274244312,0.8657204230403028,,-0.12651657825006607,3.5264116568029e-05,0.000615071800605157,3.2110741837587455,True
St6gal1,0.8258071952702026,-0.031982886921197086,0.8577900821913997,,0.48224129868465127,1.6931297535132495e-05,0.00038190896695787583,3.418040144573509,True
Hck,0.3760754947869849,-0.475597546789109,0.8516730415760938,,-0.07363771486783116,1.1511666324973218e-05,0.00030293858749929524,3.5186454038851926,True
