,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Ankrd55,-0.1436354259363266,-0.24320930821681788,0.09957388228049127,-0.7586913986889053,-0.31011469573651557,3.1731287097001906e-08,9.519386129100571e-06,5.0213910567983095,True
Socs3,-0.48433546961616586,-0.5820995218053985,0.09776405218923262,-0.26349335599067786,-1.0991776072101629,0.007429360793999919,0.049419251401329835,1.3061038375404548,True
Lpl,-1.4043642063562127,-1.501429180824777,0.09706497446856432,-0.09559892119023214,,2.626344309215196e-06,0.0002050740932139293,3.6880892001137338,True
Spaca6,-0.04475144424521755,-0.14033323554961405,0.09558179130439651,-1.6631531642604331,-0.14009776305723393,0.00014919256506061901,0.003196666392182812,2.4953026848399773,True
Lrrc25,-0.3277524459098586,-0.4227004955731858,0.0949480496633272,-0.36491766115339086,-0.6785947649934523,0.000900578032746207,0.010894089105800892,1.962809076832359,True
Fbxl5,-0.5059674351583701,-0.5994252617887161,0.09345782663034607,-0.24277635571704512,-1.1606735591748343,0.005392643622808284,0.04034396725292981,1.3942213973642326,True
Csf1r,-0.6642787559852498,-0.7559469910342859,0.0916682350490361,-0.1850064810621546,-1.7864368282734477,1.802879962306322e-05,0.0007820403929080699,3.1067708147610777,True
Cd33,-0.5315178743634431,-0.6220633602913669,0.09054548592792377,-0.22521270856233824,-1.2405564821207502,0.003805422435767652,0.031449772196426876,1.5023824959800183,True
Casp6,-0.4981425153120391,-0.5877718427357695,0.08962932742373042,-0.2368911071590205,-1.1295987551712954,0.0027270203239899734,0.02464174991557205,1.6083284543123428,True
Tmem173,0.041202168187298535,-0.04782797086612528,0.08903013905342382,,-0.004787440878883831,0.005219216148172891,0.03943992051516039,1.4040639689808776,True
Il13ra1,-0.36373226977969453,-0.4451495600834327,0.08141729030373818,-0.2891788019643541,-0.7476834507665834,1.5458567942545884e-05,0.0007246203723068384,3.139889460177179,True
Atf3,-1.0761408567985167,-1.1569019412367796,0.08076108443826291,-0.10334258711032968,,6.629691579655007e-05,0.0019124110325927908,2.7184187595483307,True
Tmem51,-0.21130442301688707,-0.2917715225267907,0.08046709950990366,-0.46293723188861324,-0.4179989710142139,0.00041356073052333333,0.006222302533689088,2.2060488769435493,True
Cpne8,-0.19619890626369513,-0.2765880913734094,0.08038918510971427,-0.49286344009979455,-0.389098709298068,0.00033205318902394256,0.005596402062201279,2.2520910920496036,True
Gm30074,-0.08179223252247345,-0.16182775130465094,0.08003551878217749,-0.9855328760086891,-0.18739497509627662,0.0025076850060970365,0.02329119200709322,1.6328082843783436,True
Ptprk,0.18087937929426945,0.10090613179697247,0.07997324749729698,0.8222316607163024,0.19016318398926516,0.0005666585055187226,0.007848506175314483,2.1052129956819994,True
P2rx3,0.0802643540013778,0.0007084606001101508,0.07955589340126765,4.908372364654902,0.05725811812668389,0.00016428791869107313,0.00342266497273069,2.465635609660039,True
Pi16,-0.0830935663857599,-0.1621699043434069,0.07907633795764699,-0.9655448025958954,-0.18874557143554357,0.0026664867755828952,0.024388598557160628,1.6128131548473446,True
Gas7,-0.36317816894889193,-0.4409484492899644,0.07777028034107247,-0.27764259269726277,-0.741935353921765,0.0024899720037012767,0.02319849692889388,1.6345401528950516,True
Ndrg2,0.043507763679947103,-0.033758641742055846,0.07726640542200294,,0.00701542024711531,0.0013620292860406415,0.014287020482943792,1.8450583326320942,True
B4galt6,0.022293604056144035,-0.054470234786745286,0.07676383884288931,,-0.023399269015533984,0.0027126652478552706,0.024586089859715443,1.609310535408411,True
Rgl1,-0.33078108719912974,-0.40704942100462493,0.07626833380549519,-0.2969085018474606,-0.6640943428055054,0.0009286508177044249,0.0111438098124531,1.9529663084745248,True
Cib2,-0.3171232475797364,-0.3922542999634451,0.07513105238370865,-0.30426040708661306,-0.6319329711824286,0.00046965072914925677,0.006773808593498896,2.1691670793125386,True
