,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Podnl1,0.4195821622796819,0.061825099422677325,0.3577570628570046,2.75288035208376,0.31115853741471566,0.00011234608796405679,0.00029538848719734475,3.5296064353751184,True
Runx3,0.36246548403526957,0.005033461604895247,0.3574320224303743,5.729198269409698,0.24336378319311355,0.0002337004518759969,0.0005765636148256502,3.239152768085579,True
Gm11837,0.3753895680508148,0.01847865919635017,0.35691090885446464,4.236511828408204,0.25934373994671217,1.4261846081949356e-10,1.051241725942213e-09,8.978297409402622,True
Arx,0.46267136680750703,0.10739064860216262,0.3552807182053444,2.1132949684917257,0.3618031719656656,6.637640649819572e-13,6.550303272848262e-12,11.183738592118836,True
Sapcd1,0.4594766317628597,0.10577990954001051,0.3536967222228492,2.124925216542476,0.359103111352074,0.00010849260145431203,0.0002867645853417939,3.54247448389795,True
H2.Q6,0.6609227695321023,0.3082209707772415,0.3527017987548608,1.114222379831098,0.5700469378553091,6.304164057253532e-05,0.0001760939680797076,3.754255520094984,True
Dst,0.2562711824336719,-0.09496491454450898,0.3512360969781809,,0.11190352377407091,0.00019253108231396276,0.0004825340408871247,3.3164720434643202,True
Egfl7,1.304683633864869,0.9542873664006148,0.35039626746425423,0.45989982827244236,1.090504906475334,0.017661506933053454,0.029224777054142507,1.5342487932379782,True
Syde1,0.38157546460435743,0.032286863239224084,0.34928860136513334,3.5159123301407234,0.27134339581073097,2.063457733185633e-05,6.278268965067848e-05,4.202160082783372,True
Rpl41,0.8099767166107488,0.4611350163711153,0.34884170023963346,0.8252727115292422,0.7097810391106244,0.0014187296047651668,0.0029515872498581835,2.5299443743699763,True
Nsun2,1.172135952851811,0.8244130381255056,0.34772291472630534,0.5172398205417748,0.9987547743613407,0.0024695522076374245,0.004906395114511439,2.3092374807642653,True
Klhl6,0.4371000884903826,0.0907101345796327,0.3463899539107499,2.2718570510860374,0.3378881563500661,2.8002636420888243e-05,8.358995946533803e-05,4.077845885368107,True
Smarca5,1.1092714000472674,0.7630137153332148,0.3462576847140526,0.5498248895238723,0.9531851817968828,0.0026577715009404386,0.0052525128477083766,2.2796328766312857,True
Mcm7,1.1059299450436568,0.7597907795108038,0.34613916553285307,0.5516046979666426,0.9507374151347985,0.007673514124393481,0.013686410447788611,1.863710439895985,True
Zmat3,0.41701925106694576,0.07162806420258823,0.34539118686435755,2.5381283300285804,0.3153617897548568,0.00032359213707457753,0.0007741438685994678,3.111178321574635,True
Rif1,1.1283129016422955,0.7844259219719445,0.343886979670351,0.5343231520911175,0.9681788131643565,0.004850893339438328,0.00899423981354449,2.0460355370137324,True
Cd81,0.23583565167343834,-0.10766481748371544,0.34350046915715376,,0.08961396462950784,0.0023646138742977755,0.004726077030575168,2.3254992040576283,True
Dnajc2,1.238559372205068,0.8984209287807523,0.34013844342431576,0.47233028832098606,1.0485780879240938,0.006755010271619084,0.0121785040954671,1.9144060534914866,True
Ociad2,0.45244870951107946,0.11253225119905337,0.3399164583120261,2.0155293757722905,0.3589481170639017,7.49944932779353e-05,0.0002058403292166568,3.6864695321957712,True
Sytl4,0.43454431072236527,0.09599084001721604,0.33855347070514924,2.1836784333061376,0.33944251443573437,2.100031910634461e-05,6.383075716214166e-05,4.194970003926928,True
Cbx3,1.05881072921478,0.7208161607673913,0.3379945684473886,0.5651670537477531,0.9182438242505278,0.0027508051684017594,0.005414970803940471,2.2664038806308544,True
Pdcd1lg2,0.4235522080906532,0.08592679488531524,0.33762541320533795,2.303953394654481,0.3273878749959385,4.032322475515489e-08,2.0229042519308473e-07,6.694024672761657,True
Gm34006,0.3755647531580688,0.03898100406810908,0.33658374908995975,3.236332324619686,0.27175180378714153,7.164014788960763e-07,2.8771143730766115e-06,5.541042873386439,True
Arhgef9,0.303227677863677,-0.03261879586514745,0.3358464737288244,,0.18307921965278434,7.433865586120056e-16,1.1150798379180085e-14,13.95269403671812,True
Plek2,0.2809646223763148,-0.05408981012350357,0.33505443249981837,,0.15502045672536693,0.011220682110572608,0.019191588558562043,1.716889075620755,True
Cd96,0.6123387712218624,0.27728542419502616,0.33505334702683626,1.1574387788085645,0.5308818779638759,2.956289789327221e-10,2.067335517012043e-09,8.684589034082892,True
Cbfa2t3,0.6233751093578234,0.28868049470366614,0.33469461465415723,1.1250790820548473,0.5420379032487946,0.00735081051379266,0.013157775382683758,1.8808175317474383,True
G3bp1,1.0755157174056211,0.7413899053902216,0.3341258120153995,0.5470376871363303,0.9324035147673251,0.007839579792675801,0.013957708829689854,1.8551858656875635,True
Atp2b4,0.5245707083661392,0.19130416673464462,0.33326654163149455,1.4692296575099195,0.44141701373953396,0.001624289150287474,0.0033421587454474776,2.475972925886513,True
Gm17619,0.3141329970550864,-0.016416362280724666,0.3305493593358111,,0.2002008890140896,1.5441688041305873e-09,9.65105502581617e-09,8.015425208226652,True
Smc2,1.2947602154738662,0.9657653736046817,0.3289948418691845,0.43176107540696373,1.0910314158934906,0.03224164519002917,0.04996122705066504,1.3013669038689841,True
Taf1d,1.0562330819092896,0.7286278794990514,0.32760520241023816,0.5461775471431675,0.9202403031248719,0.006240127886775459,0.011394025356254644,1.9433228183996811,True
Ptges3,1.1415087488492113,0.8141885647758365,0.3273201840733748,0.4973504544917316,0.9839320366028378,0.009306056179438492,0.016212641427593193,1.7901462224140832,True
Tln1,0.11170236061335295,-0.21504931095195304,0.326751671565306,,-0.07654420596952269,0.0012010407150507677,0.002544577786124508,2.5943842684816714,True
Rpl10a,0.5168899610771704,0.19090899950525414,0.3259809615719163,1.4513279301138775,0.43712063059038764,0.004098396753528929,0.00775721783002321,2.110294012984228,True
Adgrg3,0.8780878535466901,0.5522570391103775,0.32583081443631257,0.6811837535998997,0.778353634681365,0.002369762265798617,0.004730064402791651,2.325132946030345,True
Ppat,1.0486922053086893,0.7232728762410499,0.3254193290676395,0.5465569684932129,0.9153163205230298,0.0019154714614576108,0.003893234677759372,2.4096894169383765,True
Psph,0.8627914867103166,0.5393291634274578,0.32346232328285873,0.6901856153675062,0.7664343045136511,0.002692316781978661,0.005310289510806037,2.2748818010431933,True
Padi1,0.3499020987378559,0.02648775868001187,0.32341434005784403,3.661746889835066,0.24877153614922,3.455758861628011e-10,2.3832819735365594e-09,8.622824571876624,True
X2810474O19Rik,0.06400515940236343,-0.25889931579980535,0.3229044752021688,,-0.1479165670074442,0.002369762265798617,0.004730064402791651,2.325132946030345,True
Cdkn2a,0.32690647704073983,0.0041596829553584595,0.32274679408538137,5.77607898044552,0.22098995141819827,5.387534449296827e-10,3.648443193654736e-09,8.437892411333843,True
Ikzf4,0.3390360842143376,0.020041968297335847,0.3189941159170018,3.9876871407591334,0.23822315240893882,8.118977132540281e-05,0.00022062437860163807,3.656346500476078,True
Orc6,0.8595489933278486,0.5412724241945397,0.31827656913330893,0.6796501274109692,0.7658832498507346,0.010666567710373612,0.018316945123709693,1.7371469556978412,True
Exoc4,0.49103918070110375,0.1733155267354884,0.31772365396561536,1.5168064003919044,0.4137861622118879,0.0005711063293377323,0.0012930709343495826,2.888377650253706,True
Syncrip,1.0212384945777504,0.7038474894265513,0.3173910051511991,0.5478423181807128,0.897273726853972,0.0054894711435108995,0.010097126566850214,1.995802199851989,True
Peg10,0.33813828208690017,0.020934270424200287,0.3172040116626999,3.926726248836161,0.2382197888776673,1.5176565266106535e-16,2.3962997788589265e-15,14.620458852326005,True
Ssr1,0.6941665408062454,0.3773246937072054,0.31684184709904,0.8937905359095996,0.6189392661141341,0.0004995338088891159,0.001143970554707899,2.941585153945489,True
Fmr1nb,0.286446490969946,-0.030247220649840183,0.3166937116197862,,0.17389449398079598,1.3160639268733108e-15,1.8711809386824324e-14,13.727884215240802,True
Hnrnpa0,1.0117085866064635,0.6951091505397623,0.31659943606670116,0.5524283185803791,0.8901811801207206,0.006741686341702288,0.012169108920040231,1.9147412217105908,True
Hnrnpu,1.2501472635697526,0.936075508612006,0.31407175495774664,0.4265469586771438,1.0656490874584532,0.019976723588150915,0.032606186487732725,1.4866999918773207,True
Txnrd1,0.4016945171076743,0.08910152743665331,0.312592989671021,2.1782621328173777,0.3166068932884727,0.0006615946901252159,0.0014778734701233417,2.8303627469828156,True
Nr4a2,0.32376801659468385,0.011439819565196003,0.31232819702948783,4.637016414919392,0.22355095715272855,3.3142944397045833e-09,1.9572604958885334e-08,7.708351369335288,True
Lsm3,0.9494326856331972,0.6371992290309344,0.31223345660226276,0.5868754082601401,0.8426296934033236,0.00658363170594571,0.01191967116345029,1.9237357256250522,True
Smchd1,0.8884743297107031,0.5770503096751791,0.31142402003552394,0.6348131471879183,0.7930737758386605,0.0015494135869510038,0.0032034739909393597,2.494378797702203,True
Impdh2,1.1943689916801876,0.8845354113840728,0.30983358029611485,0.4427917101293396,1.028181695205631,0.019941867955768168,0.03256701353691046,1.4872220653192958,True
Mgmt,0.4509761441286094,0.14129259955696094,0.3096835445716485,1.687724258067795,0.3742152919433298,0.008325039889412938,0.01473458387506715,1.831662124714904,True
Smad7,0.3046727183581011,-0.001705561424245542,0.30637827978234666,10.064593162056473,0.2034938367206333,3.5634154759578746e-05,0.00010409198079721153,3.982582727066501,True
Atad2,1.141140872139137,0.836346069968326,0.304794802170811,0.4582463184370148,0.9918571942677673,0.02333962677021708,0.03762433117176316,1.4245312115574182,True
Crebrf,0.16747722740443885,-0.13718011282261405,0.30465734022705293,,0.021690867493279614,0.0013042154285238389,0.0027399483792517627,2.5622576192297193,True
Clca3a1,0.3155820191673936,0.011367754073792546,0.30421426509360106,4.609017633417649,0.21844007078714076,0.004106896464020518,0.007768404408613843,2.1096681739525494,True
Dkkl1,0.5285574689809495,0.2243738941498961,0.30418357483105335,1.2521015766370143,0.46096864069803495,0.0008333368469825334,0.0018261581745417097,2.738461608315662,True
H2.Q4,0.42896143908498424,0.1248441452668046,0.30411729381817965,1.7931335924237115,0.3526486999946169,0.0004710021925324912,0.0010835940012250565,2.965133407885886,True
Pcsk9,0.4668738829682544,0.16416745893886708,0.3027064240293873,1.5228996527073244,0.3956339179434781,2.5139618515112414e-07,1.0898678547014053e-06,5.96262615660349,True
Rasl11b,0.31221204892164384,0.009760032638596546,0.3024520162830473,4.778901607452125,0.21535062593443066,3.628499352946404e-23,1.471013251194488e-21,20.832383415039484,True
Tmem27,0.3199074345439049,0.02052951599399463,0.2993779185499103,3.874961663254637,0.2267779005459142,2.3556024894972284e-15,3.226852725338669e-14,13.49122085549238,True
Eprs,0.9748630581440749,0.6777784236713825,0.2970846344726924,0.5357932852464915,0.8689401556188836,0.010349809045390304,0.017813784931824964,1.7492437952832218,True
Gspt1,0.8887751543037674,0.5919116304728297,0.2968635238309377,0.5987361770346771,0.7993719966584835,0.004552833670345562,0.008488813555647413,2.0711530049553395,True
Pbk,0.9281775133969725,0.6316420196230821,0.29653549377389044,0.5671741294054926,0.8318041048387474,0.02011667845048388,0.03279893225622372,1.4841402941778938,True
X9530052C20Rik,0.3201920262173319,0.025714007936308323,0.29447801828102355,3.5774042085218145,0.23014522701708384,2.3921757908086194e-06,8.656848458897297e-06,5.062640184890094,True
Dnaja1,0.8151421481420266,0.5211208406536051,0.2940213074884215,0.6586140099597692,0.7382330171029683,0.0031668531947945406,0.006125441382581316,2.212862611761311,True
Hnrnpa1,0.9391530078264398,0.6459200256383508,0.293232982188089,0.5517948012571204,0.8420025091487257,0.02443990965738228,0.03914561076996628,1.4073169264603804,True
Tfrc,1.110979483260458,0.8179981485065119,0.29298133475394617,0.4518885684978668,0.9741539543502453,0.0036015733211338928,0.006890765282781684,2.1617325430223033,True
Hist1h2ae,0.8868148820144466,0.5946667262119388,0.29214815580250775,0.5889113498977577,0.7997014020361316,0.02615249268462768,0.041511893150202664,1.381827460166692,True
H2.T23,-0.007178052641764497,-0.2970280789424551,0.28985002630069057,,-0.23803918569314123,0.012291892040794696,0.02089273434695982,1.680004717794475,True
Hs3st1,0.25915448558956206,-0.030555047381926735,0.28970953297148877,,0.15613733420992276,5.410029356330235e-10,3.655425240763672e-09,8.437062093678843,True
Fn1,-0.013344713487157465,-0.30239559209697403,0.28905087860981654,-6.794336427185847,-0.24788539665494805,2.185970451501683e-09,1.3410861665654496e-08,7.872543317255278,True
Aspm,0.6289224720262885,0.34009932798551124,0.28882314404077725,0.9026661777718024,0.5699876863368456,0.013428105625715425,0.02266984630115153,1.6445514243281825,True
Dtymk,1.1737740344163836,0.8856343036651293,0.2881397307512543,0.41613408891447307,1.0212694688099098,0.01476282960426617,0.024728357796090738,1.6068047240664078,True
Prdx4,0.24153009618712687,-0.046113444040726904,0.28764354022785377,,0.1344947643357555,0.004685324360559816,0.00871418045981367,2.0597734506098386,True
Bbc3,0.3132405084525703,0.026488628454912046,0.2867518799976582,3.5069959935922173,0.22634152320238313,0.0029395725465669272,0.005730160909487188,2.2418331823744637,True
Ripor2,0.3617444825616145,0.0758335474610155,0.285910935100599,2.2583223437349997,0.2854484021339847,0.00013012356879474728,0.0003368168303574132,3.472606215424376,True
Fgd5,0.44433349093535035,0.1588693507055772,0.2854641402297732,1.499887605858734,0.3802877309613685,4.3605734599719024e-07,1.8093665809012044e-06,5.742473435387859,True
Mpdz,0.48207711321833346,0.19692982606204265,0.2851472871562908,1.3084949974113798,0.4216983181166192,5.437693316738037e-08,2.68749257828898e-07,6.570652726411256,True
Rnf168,0.4343023023368115,0.149227915750478,0.2850743865863335,1.556888271587089,0.3693437582468919,0.004515607564783038,0.008429883443901129,2.0741784301226502,True
