,Baso/Eos/Mast,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Casp3,2.4878909263038707,0.3237988805188866,2.164092045784984,2.9488883901872525,1.2665436398990542,2.47662940050253e-15,1.2810152071564808e-13,12.89244571463865,True
Rab38,2.8424936971331083,0.74906006931148,2.0934336278216286,1.9341869924731505,1.4832492311308827,3.453799078658412e-10,5.5408541368851536e-09,8.256423282502016,True
Atp8b5,2.088435897743024,0.03511300264951678,2.0533228950935074,5.833416766615398,1.0438865163232056,1.386048153477884e-11,3.150109439722464e-10,9.501674357879624,True
Slc2a3,2.4343498238286383,0.4125532052881476,2.0217966185404905,2.5702763529884294,1.2770632191224724,2.2853091042180454e-13,7.790826491652428e-12,11.108416467651677,True
Adgre5,1.9562753990428503,-0.05736595532921773,2.013641354372068,,0.9630706470098661,7.37784755471843e-16,4.176140125312319e-14,13.37922493753718,True
Slco2b1,2.047365543922442,0.08462604007310125,1.9627395038493407,4.58226640171678,1.0468373157372757,1.9367412575141767e-17,1.910578401801684e-15,14.718835136059209,True
Pdcd1lg2,2.0122829256501307,0.08592679488531524,1.9263561307648154,4.536165390536508,1.0349938142746598,1.076860655549029e-14,4.894821161586496e-13,12.310263171063086,True
Etnk1,2.0698258847189073,0.15004421372170543,1.9197816709972018,3.786179291146142,1.0771985886907478,4.877165111456627e-08,5.320543757952684e-07,6.274043980672875,True
Fgfr1,1.93946290793314,0.03588284388003099,1.903580064053109,5.698485028833275,0.991080342845713,3.3543842367695285e-11,6.799427506965261e-10,9.167527652151502,True
Il18rap,1.843218123121157,-0.05392639016366916,1.8971445132848261,,0.9219282154573449,1.801402888577492e-12,4.95240656898856e-11,10.30518370901616,True
Fam46a,1.8253841919207534,-0.042754641433610956,1.8681388333543643,,0.9193894938484177,1.526859055017804e-08,1.8322308660213647e-07,6.73701980494649,True
Dapp1,2.079684133817854,0.22913071948802424,1.8505534143298297,3.1887256317464656,1.1072911082055172,2.1771740416454816e-11,4.698936780529816e-10,9.328000397933367,True
Egr1,1.833808261769749,-0.003382764003442081,1.8371910257731912,,0.9375046609285583,8.693457060911729e-08,8.870874551950744e-07,6.052033562314448,True
Dnah8,1.9435815091148905,0.10894310838227213,1.8346384007326184,4.1512987789901254,1.0188209495758098,3.790487436641979e-10,6.016646724828538e-09,8.220645487920303,True
Prkca,1.9287886171187756,0.13790250726461653,1.790886109854159,3.8058303449274606,1.0238554185741693,2.7271306790824638e-12,7.052924170040854e-11,10.151630785474817,True
Sdsl,2.0665604002584392,0.2976032139337789,1.7689571863246603,2.8053694114479746,1.125705189873931,3.5448038794712736e-13,1.1686166635619584e-11,10.93232792528109,True
F2rl2,1.7809760468567961,0.01800096563814595,1.7629750812186502,6.49878260274653,0.92561098232147,5.174315366888349e-13,1.6691339893188223e-11,10.777508799039083,True
Slc7a5,2.2375460773648497,0.47586410080235714,1.7616819765624925,2.2450450201911214,1.2367712354076508,5.539211707978741e-09,7.352935895547001e-08,7.133539220283062,True
Tnfrsf18,1.7770618223029464,0.01973090323442493,1.7573309190685216,6.375978676536005,0.9247812415164927,3.4296964299817163e-13,1.1432321433272389e-11,10.941865573341122,True
Rab37,1.7831952583882722,0.032311679132906015,1.750883579255366,5.721921526005449,0.9318747497625078,4.684629983157574e-14,1.9251904040373595e-12,11.715526311696534,True
Top2a,3.809228320916076,2.088654511706498,1.720573809209578,0.8760263870208681,1.9814659651585789,0.00025925587389750103,0.0009758690360006313,3.010608461799082,True
Glb1,1.7314058284961407,0.015438391467125619,1.715967437029015,6.656495283987658,0.905675996946878,1.4215374567351026e-08,1.726563712633728e-07,6.762817390940524,True
Hipk2,1.721829096847182,0.012324801984926352,1.7095042948622559,6.932371787568767,0.9007813877961671,1.6895726154325111e-12,4.827350329807174e-11,10.316291182477931,True
Avil,1.6885880627386531,-0.0038661701358438053,1.692454232874497,,0.8815557348417177,5.225300247740141e-11,1.0113484350464788e-09,8.995099193224403,True
Rab44,1.806786107452456,0.16800875524960984,1.6387773522028461,3.4317561941221055,0.9908804055041038,2.5241637402427164e-14,1.0974624957577027e-12,11.95961031223735,True
Arap3,1.8909584748767942,0.2575869845731359,1.6333714903036585,2.8858664589065812,1.052605595189577,3.408447019438546e-05,0.00016545859317662848,3.7813106726124435,True
Cish,1.8369757050645614,0.2226178112646779,1.6143578937998835,3.053440684173115,1.0213352788058954,8.238306720601023e-13,2.4470217981983238e-11,10.611362161912991,True
Runx1,1.4811861537064546,-0.10988741711808855,1.5910735708245431,,0.7533044726792298,2.7480087193555514e-09,3.8886915839937047e-08,7.4101964998150285,True
Jazf1,1.5256369203496762,-0.053953509554459954,1.5795904299041361,,0.7956353917626154,4.609292780633736e-08,5.102538133542881e-07,6.292213740923432,True
Podxl,1.8799923692110818,0.30043670990215465,1.579555659308927,2.6571821919720526,1.0636510280810632,2.4590066683465893e-11,5.231929081588487e-10,9.281338151473454,True
Gng12,1.9771610499710697,0.4136638590126654,1.5634971909584043,2.2700689999844665,1.1344920058884418,9.108787512778925e-09,1.1628239378015648e-07,6.9344860364577485,True
Nedd4,2.5097300828736255,0.9578267470973576,1.551903335776268,1.4025663697459372,1.4508963107724475,2.481078998261304e-09,3.5276004714615697e-08,7.452520608025788,True
Fut8,2.5551675135359577,1.0056829760219768,1.549484537513981,1.3579752579727835,1.4753055489978595,5.765674279159511e-07,4.687540064357326e-06,5.3290550073378355,True
Icam4,1.6880641068271542,0.1401798822610141,1.5478842245661402,3.5931273637283025,0.9366827813991894,7.178014528150322e-12,1.7090510781310288e-10,9.7672449573969,True
Ptpn13,1.4911261561254188,-0.02838759690305532,1.5195137530284741,,0.7919134664979591,1.6289393358300574e-10,2.943866269572393e-09,8.531081922495513,True
Tjp1,1.8869098267980577,0.39748479515597096,1.4894250316420867,2.2608965262966723,1.099091368257219,1.721309373742011e-13,6.075209554383569e-12,11.216438737195851,True
Oaf,1.6462443026967435,0.15706922575844187,1.4891750769383016,3.3955918997047783,0.9272568733106235,8.663502255198056e-11,1.6043522694811215e-09,8.794700267040252,True
Epcam,1.448167476610832,-0.03847438046726083,1.4866418570780928,,0.7696418892207862,1.9672434403830408e-13,6.783598070286347e-12,11.168539892034934,True
Sfxn1,2.1576007678654348,0.6852075277295101,1.4723932401359248,1.6690654562118528,1.2758438944389177,4.644769442997819e-14,1.9251904040373595e-12,11.715526311696534,True
Col18a1,1.651272586232295,0.1810818183983434,1.4701907678339516,3.1970850740138537,0.9382309833498548,7.231520204664933e-18,9.039400255831166e-16,15.04386038304494,True
Fam129a,1.064517044630973,-0.40456601379672696,1.4690830584277,,0.4113996862441757,0.00011227369019869586,0.0004704204896593402,3.3275137703668842,True
Mlec,2.10989603122322,0.6575716850622322,1.4523243461609878,1.6964403553963128,1.2532231691174596,2.3417267214246477e-10,3.946730429367384e-09,8.40376253588883,True
Gp5,1.765640043958293,0.31427010551501583,1.4513699384432772,2.503482538436357,1.028537380545635,6.189233219245531e-15,2.99479026737687e-13,12.523633586934205,True
Gch1,1.266504573082572,-0.17670151347860738,1.4432060865611793,,0.6275148853829143,2.9283248329250344e-06,1.9392879688245262e-05,4.712357696859643,True
Ccnd2,2.336796227013439,0.8998530307219144,1.4369431962915244,1.390616044095275,1.3886439786517932,2.4487431505016524e-07,2.260378292770756e-06,5.645818872040899,True
Gna14,1.425274234699557,-0.011241739709952186,1.4365159744095093,,0.771476790098882,3.1041480962534595e-14,1.3303491841086255e-12,11.876034352395498,True
Myh9,1.3363349630217611,-0.09737742534249226,1.4337123883642533,,0.6955295547088644,1.3582261997597367e-08,1.6631341221547798e-07,6.779072726028252,True
Hrc,1.3691211324130752,-0.05736325389618648,1.4264843863092618,,0.7275972017528358,2.289214879989596e-12,6.131825571400702e-11,10.21241020777324,True
Adora2b,1.1403096162476243,-0.285632286110345,1.4259419023579694,,0.5133276841104298,7.206969927825101e-06,4.2477229437083116e-05,4.371843817713456,True
Lilr4b,0.3232999871925795,-1.0920921037314615,1.415392090924041,,-0.6999256255719152,0.0001376957519295958,0.0005582260213361992,3.2531899230259502,True
Gnb4,1.326938236510512,-0.06392067975186437,1.3908589162623763,,0.7062067499123065,0.00019589794590464888,0.0007592943639715072,3.119589823755902,True
Samd14,1.6191897447875518,0.24142435340155508,1.3777653913859969,2.7582666911866403,0.9488303516241525,2.660468327212525e-15,1.3527805053623007e-13,12.868772663892413,True
Enah,1.615457430239029,0.252464681262973,1.362992748976056,2.6910016636519907,0.9515587435011064,2.7975779556540674e-11,5.910375962649438e-10,9.228384892501008,True
Neb,1.381891703355398,0.020921977228512557,1.3609697261268854,5.942481634827035,0.7667281593967962,7.132860096465343e-09,9.344358204976432e-08,7.0294505217446375,True
Kit,1.6346954211183884,0.29642605519236037,1.338269365926028,2.4778856767502524,0.9749409454367228,0.00026957199314692047,0.0010096329331345335,2.995836491652508,True
Socs1,1.3476544369106853,0.011039268317824107,1.3366151685928611,6.720878314142213,0.7479002355556629,4.196341899382439e-05,0.00019548176549918193,3.7088937472830614,True
Ptprcap,2.232161395595749,0.9096555054884551,1.3225058901072941,1.3097232729560788,1.3622782370480722,1.34566615705982e-06,9.82238070846584e-06,5.007783236934036,True
Tpbgl,1.336799210843816,0.0152397961142498,1.3215594147295662,6.306567270125177,0.7450389374673151,7.609093171590164e-14,2.926574296765448e-12,11.533640446001987,True
Hmgn3,1.3044738231914286,0.03295224485001393,1.2715215783414147,5.252337639160353,0.7387358780132653,0.00034585373993631824,0.0012381398804402802,2.907230287568247,True
Gpr34,1.2542156097880863,-0.014100509784166493,1.2683161195722528,,0.6960450634973752,2.086452278856964e-06,1.4489251936506697e-05,4.838954036077045,True
Tax1bp1,1.367823973973528,0.10510896922700129,1.2627150047465268,3.7037361130182163,0.7961545548472665,3.5036276425658474e-10,5.5908951743072035e-09,8.252518650407527,True
Rab19,1.0908651915934002,-0.16137288126045995,1.2522380728538602,,0.5506506629995925,8.196451132453723e-09,1.064474173045938e-07,6.972864871228668,True
Hmga2,1.6584707962709166,0.41755778075922234,1.2409130155116943,2.0068758082977647,1.0271641662719162,7.919038507859899e-10,1.2059449504355177e-08,7.918672516630157,True
Srm,2.69568211762686,1.4548140304102206,1.2408680872166393,0.9026239008509569,1.620702794426055,0.00018331753902307905,0.0007198332684152319,3.142768085502954,True
Id1,1.862231067145828,0.6221572614665805,1.2400738056792475,1.5984115073556129,1.164911214696749,0.00010923972121761084,0.00045899042528407916,3.3381963739173384,True
Ddx25,1.27602512900167,0.052274927948962095,1.223750201052708,4.586296080929972,0.7347855029383897,1.3760300853707554e-08,1.6780854699643358e-07,6.775185923013535,True
Gnai1,1.237151329426754,0.017343181892867994,1.219808147533886,6.031087588140848,0.7024334811345851,3.0717825571842748e-12,7.876365531241731e-11,10.10367413705937,True
Adgrg3,1.7717937480813786,0.5522570391103775,1.2195367089710012,1.6990263521626237,1.1123834680307951,6.622050622395338e-08,6.897969398328477e-07,6.161278736638178,True
Pde1c,1.1813578834311542,-0.03255605593878909,1.2139139393699434,,0.6548029630971479,2.0483734285076483e-11,4.485489259505799e-10,9.34819017890422,True
Gem,1.4054992609886956,0.1969962877557374,1.2085029732329582,2.848504072845431,0.8489966478022992,4.096580465132308e-09,5.5862460888167834e-08,7.252879936400662,True
P2rx1,1.1918054026974234,-0.01446619936708903,1.2062716020645123,,0.6678191161262916,7.161560377437996e-18,9.039400255831166e-16,15.04386038304494,True
Slc22a23,1.2721282819815871,0.07184986520294671,1.2002784167786404,4.137668269968526,0.7415654194727681,3.0915470819577338e-06,2.025030839710306e-05,4.693568358417696,True
H1f0,1.35868510859072,0.15985036266620853,1.1988347459245114,3.0986764946259604,0.8149750572670926,6.300756186292917e-08,6.609184810796766e-07,6.179852103903961,True
Vamp5,2.208820402043838,1.0102505008296203,1.1985699012142177,1.1437397328192016,1.383793001599951,3.108341089366064e-06,2.0315954832457937e-05,4.692162761389614,True
Arhgap6,1.2050922759515261,0.010793490077552599,1.1942987858739735,6.5904670487663735,0.6852161603382364,5.84761156930658e-14,2.339044627722632e-12,11.630961492004962,True
Serpinb2,0.9399135839210351,-0.2431848713246548,1.1830984552456898,,0.4312103956270543,0.003044164498730634,0.008183237899813532,2.087074823005202,True
Lat2,0.8102777270369317,-0.37007058449792285,1.1803483115348545,,0.28700361943956343,8.230367183605271e-07,6.497658302846266e-06,5.187243130955058,True
Itgb3,1.3579512253289971,0.17985482187770724,1.17809640345129,2.929786063285053,0.8228549574678733,2.1779589055596822e-08,2.5325103553019563e-07,6.596448770156703,True
Cd48,1.19557149832088,0.0194395426048571,1.176131955716023,5.8344184261350005,0.6848236920357909,0.0007220372227489858,0.002351912777683993,2.6285787884092233,True
Osbpl8,0.9253569212685488,-0.2297239757021277,1.1550808969706765,,0.43062406341046133,0.00012353033934491158,0.0005111600248754962,3.2914431173982144,True
Adamtsl1,1.1970560354719366,0.042608092127694154,1.1544479433442425,4.779136760013405,0.6958442493555831,5.539211707978741e-09,7.352935895547001e-08,7.133539220283062,True
Cmtm7,2.1785024681591776,1.0256820257850086,1.152820442374169,1.1022221059138837,1.3796721080550005,4.179585885359601e-06,2.639738453911327e-05,4.578439101027917,True
Cd84,0.6550265536328496,-0.4875183929866881,1.1425449466195376,,0.1160374251894791,7.515502479989756e-05,0.00033107940440483505,3.480067834746375,True
Emilin2,0.992747032037911,-0.14293298065306492,1.135680012690976,,0.5108677873837353,5.699419639599919e-07,4.65892613591274e-06,5.331714174939158,True
Spns3,1.5151625742227526,0.38047229091035445,1.1346902833123982,2.0122551530110324,0.9618584610577776,2.915597275373277e-05,0.0001445750715061129,3.839906584224419,True
Rgs18,1.4735967386544422,0.3418072198673247,1.1317895187871174,2.1266121542562813,0.9318358114774723,2.434207237230088e-07,2.2538955900278594e-06,5.647066206180337,True
Pcdh7,1.0880125289261027,-0.04285946542146947,1.1308719943475722,,0.6065147464925813,2.156462871892968e-06,1.4940851306417791e-05,4.8256246563930105,True
Ttc39b,1.2130752488139234,0.0911247910226565,1.121950457791267,3.7360231517077396,0.7243010317162163,2.9764026944789216e-06,1.9667859214618426e-05,4.70624290911348,True
Fam107b,1.481927876630779,0.3612595996243952,1.1206682770063838,2.0551944677238643,0.9423033548723607,3.137531616743179e-05,0.00015430483361032028,3.8116204694170173,True
Vat1,0.8755762568136072,-0.22272599621800332,1.0983022530316104,,0.40754324533937075,3.0582198123048028e-06,2.011986718621581e-05,4.696374890439369,True
Gmpr,1.386040831054786,0.28942736363592675,1.0966134674188592,2.278388785001479,0.8779280374687857,0.0004589543657898993,0.0015826012613444804,2.8006284924725753,True
Kif20b,1.7256043157798222,0.6298365709990041,1.095767744780818,1.472517071123432,1.122818765431474,1.0991655336580663e-06,8.285167339131153e-06,5.081698715521369,True
GFP.CDS,1.4240787432705846,0.3350761213153972,1.0890026219551874,2.1067525521750556,0.910408350807377,8.747160562183432e-08,8.895417520864508e-07,6.050833662784999,True
Auts2,1.2032801958497967,0.12178099262920491,1.081499203220592,3.3140370020417644,0.733380889637277,2.1919949490480047e-08,2.5389902884725925e-07,6.5953389602806025,True
Havcr2,1.0292971704625986,-0.048875689146561464,1.07817285960916,,0.575516366260221,1.7586405321804192e-12,4.9243967100498876e-11,10.307646967510506,True
Cdkn2a,1.0819307335157928,0.0041596829553584595,1.0777710505604343,7.493108960280904,0.625780330697908,1.9367412575141767e-17,1.910578401801684e-15,14.718835136059209,True
Galnt1,1.2995137658582114,0.24832539506557427,1.0511883707926373,2.4066087354763566,0.826940607441319,2.0407587325789723e-10,3.6013389398452454e-09,8.44353600310041,True
Rsu1,0.885005636313512,-0.16492108431017988,1.049926720623692,,0.44365149738002957,9.13266220045889e-05,0.00039195975109265616,3.406758526795368,True
S100a6,-0.6929323339851388,-1.7360894016137713,1.0431570676286326,-1.3824167679084025,,0.006283637756429787,0.015301065965332273,1.815278312533014,True
Itih5,1.4165351873334455,0.37499621819236234,1.0415389691410832,1.9377614342281417,0.9227806729128255,9.303946366086273e-10,1.402604979812001e-08,7.853064623514355,True
Actb,0.31270793954061504,-0.7209844205200482,1.0336923600606633,,-0.3294102372203724,4.360823054343064e-05,0.00020282897927177042,3.692869994907268,True
Fbxo5,1.5099319369336017,0.4773938528715016,1.0325380840621001,1.6814998654075288,0.9954214874857464,3.84751898240512e-05,0.00018263539473442026,3.738415052386442,True
Rpia,1.56173087546006,0.532095982404094,1.0296348930559662,1.5734099333949143,1.033450087074819,5.699419639599919e-07,4.65892613591274e-06,5.331714174939158,True
Vill,1.0122919861651611,-0.016049916150607402,1.0283419023157685,,0.5831541855796007,7.827885735936975e-08,8.01490007092523e-07,6.0961018880217885,True
Usp40,1.2188271679212341,0.19112780087193626,1.0276993670492978,2.690376580291676,0.7697526874231303,1.4660959320376899e-05,7.812234096115576e-05,4.1072247514149085,True
Ifi47,1.1760024451599849,0.15743817729234952,1.0185642678676354,2.916502992309009,0.7370120290628936,3.013790860219237e-07,2.7151269010984114e-06,5.566209867305768,True
H2afz,1.8223930952819616,0.8127739893876572,1.0096191058943043,1.183186687440757,1.21262134486582,1.8582052709956562e-06,1.3055306353599457e-05,4.884212932640983,True
Ube2s,2.1806829606143765,1.1748247439997157,1.0058582166146608,0.9081416984080517,1.4210233496177307,0.0002913688561861731,0.0010712090300962246,2.9701257749575563,True
Ighv1.23,1.0848012430693794,0.07901983981452221,1.0057814032548573,3.7794887641529136,0.6616680163294991,8.471565009489562e-09,1.0954609926064087e-07,6.960403082272514,True
Rprm,1.0112587319826893,0.008597388474599354,1.00266134350809,6.615393754701951,0.5944798147001674,7.99126282424057e-15,3.7459044488627674e-13,12.42644330487346,True
Tyms,1.5790921555619402,0.5778194468914539,1.0012727086704862,1.470577529383545,1.0555120690933681,8.183556009691752e-07,6.477748820336479e-06,5.188575896099962,True
Itga2,1.0081659418249065,0.008608892883731638,0.9995570489411748,6.609527708450683,0.5930070209885028,1.531609717772721e-11,3.4547587618933554e-10,9.461582273047041,True
Cpne2,0.9918042627997372,0.0042475397680552555,0.987556723031682,7.350473971350167,0.5830625686102683,2.677107546782743e-07,2.448573975715923e-06,5.6110867706492735,True
Cbfa2t3,1.2732081268374982,0.28868049470366614,0.9845276321338321,2.162099159578928,0.8326424047993101,2.5278825188644474e-06,1.7118843242874362e-05,4.766525584881378,True
Mki67,2.1524477726760596,1.1861151760644126,0.9663325966116469,0.8758026955822473,1.4164514449578756,0.0006876857006713357,0.002257174072225391,2.646434947040182,True
Sytl2,0.9617004009031969,0.025997829992848703,0.9357025709103481,5.143280972633822,0.5790344376935516,4.817412870613116e-07,4.025693206640486e-06,5.395159325259578,True
Hsp90aa1,2.5255425441812247,1.5938637057648382,0.9316788384163865,0.6780370957617267,1.613391678765338,0.007187435506050083,0.017263656139431743,1.7628672229296183,True
Adora2a,0.8759372997695154,-0.04776573522092593,0.9237030349904414,,0.4998696405913767,7.196194834658736e-17,5.94578600010419e-15,14.225790725915875,True
Nucb2,0.6657976066954192,-0.2538222018486225,0.9196198085440417,,0.2702151960081185,0.002471961130655649,0.006866558696265692,2.1632608631832286,True
Plgrkt,0.5166705986648703,-0.39587883231556875,0.9125494309804391,,0.084602974285138,0.00038460006008452256,0.0013542255636778964,2.868308992296489,True
Hist1h1b,2.822926813148108,1.9153004022244742,0.9076264109236336,0.5722421494411336,1.7523690774600218,0.0169260531372945,0.035019420284057586,1.4556910475592189,True
Id2,0.07036808043150306,-0.8333548043998473,0.9037228848313503,,-0.6931390161269038,0.023879547828557463,0.04688392898276989,1.3289760005727942,True
Lgals9,1.0067262451910053,0.10395359477302395,0.9027726504179814,3.287434814415963,0.6372299162271461,3.0918988372746024e-05,0.00015256079789183893,3.8165570485991993,True
Rpl41,1.363023520013359,0.4611350163711153,0.9018885036422436,1.5864115738914901,0.9351423337042926,5.095883223700563e-08,5.499154557950248e-07,6.259704073967578,True
Gm32511,0.902421627431284,0.003793005583647684,0.8986286218476363,7.327084151578321,0.5391412544338177,0.01582951637720457,0.03323201478769329,1.4784433275551194,True
H1fx,1.2520500374624157,0.3536603181224082,0.8983897193400074,1.8473778032472905,0.8502835106514238,9.650902155854195e-07,7.481319500662166e-06,5.126021797681244,True
Fam198b,0.6358172440815336,-0.2602905054350799,0.8961077495166135,,0.24824744564395196,6.972205972605642e-07,5.577764778084514e-06,5.253539804471888,True
Cd53,0.43877647745664494,-0.44909681654144756,0.8878732939980924,,-0.007463824914659907,0.0002570142346522309,0.0009686466130109204,3.0138346357578496,True
Nme1,1.6088043046177698,0.7248593803689509,0.8839449242488189,1.170937772572657,1.115587197079861,1.265197886676323e-06,9.302925637325903e-06,5.031380450549848,True
Tpx2,1.5178446094123095,0.6351248053197612,0.8827198040925482,1.2785399833891367,1.05414324682246,1.876292731148608e-05,9.688258508512607e-05,4.0137542815781835,True
Slc6a4,0.8061863810888885,-0.07528055412099818,0.8814669352098867,,0.4493795648139485,2.541727070715016e-06,1.7173831558885244e-05,4.7651328009811085,True
Bcl2,1.1546192680234137,0.2751031697433872,0.8795160982800265,2.0932194512444426,0.7780918260014861,4.213005587304926e-07,3.5906297619076075e-06,5.444829373668153,True
Cited2,0.7954290710968013,-0.08252753630153167,0.8779566073983329,,0.43983668571764395,0.00013707617514144684,0.0005582260213361992,3.2531899230259502,True
Samsn1,1.068434155781653,0.19234590505484586,0.8760882507268072,2.4958281303669,0.705217134787288,6.108240962604085e-07,4.939278406418398e-06,5.306336493789137,True
Tln1,0.6591148280983314,-0.21504931095195304,0.8741641390502844,,0.28928295945912363,2.4732247190736896e-06,1.6824657952882244e-05,4.774053756268074,True
Syce2,1.8728848672446583,0.9994566529374013,0.873428214307257,0.924402509063711,1.284615260544064,0.00037336078925409523,0.0013192960751028102,2.879657729583295,True
mt.Nd1,1.7644529042306267,0.8957830115540951,0.8686698926765316,0.9973176398519737,1.2204029904841978,0.00019589794590464888,0.0007592943639715072,3.119589823755902,True
Sh2d2a,0.8706251051362391,0.002146738656674445,0.8684783664795647,7.759241621080161,0.5224434182449091,2.662899365883696e-12,6.946693997957469e-11,10.15822183138698,True
Rps8,1.8079815868194145,0.9412402417843879,0.8667413450350265,0.9606797845440148,1.2476911437625688,1.0098248612243734e-05,5.6731733776650196e-05,4.246173943773106,True
Tpm1,0.8532936340040493,-0.008034072362549168,0.8613277063665985,,0.5085602698295218,3.031656500423774e-07,2.723044760859677e-06,5.564945219756403,True
X1810058I24Rik,0.5792720401168017,-0.2818408059116689,0.8611128460284705,,0.20002167998832446,2.589357437751976e-08,2.953639662834953e-07,6.529642488708522,True
Prkar2b,1.0262155703542468,0.1651698399107457,0.8610457304435011,2.6564792710446934,0.6741828473831241,9.275109193041826e-07,7.227357812759864e-06,5.141020443654705,True
Bfsp2,0.9225222796915306,0.06269200668842873,0.8598302730031018,3.8767237470043403,0.577834495577733,8.879876969129266e-15,4.098404754982738e-13,12.38738515326153,True
Btc,0.9069417758369887,0.05146308084345652,0.8554786949935321,4.127918693012828,0.5648194982643739,4.6969585966103816e-08,5.180469040379097e-07,6.285630917392496,True
