,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Foxl1_377,0.07580330794483209,0.06922387653520087,0.0065794314096312145,0.22732424300969095,0.10099593148520121,0.9125141637116388,0.9771995070555616,0.010016760776684681,False,Foxl1
Zfp740_204,0.2432466439628072,0.23705719574124434,0.0061894482215628654,0.06931037219927642,0.31051686302510495,0.8802917552426937,0.966371618288774,0.01485583348450617,False,Zfp740
Tfdp1_256,0.336509676556642,0.33042160062670395,0.006088075929938042,0.049752690102257954,0.4151806492817171,0.8845214124217381,0.966371618288774,0.01485583348450617,False,Tfdp1
Tfdp2_255,0.336509676556642,0.33042160062670395,0.006088075929938042,0.049752690102257954,0.4151806492817171,0.8845214124217381,0.966371618288774,0.01485583348450617,False,Tfdp2
Kdm2b_249,0.1563416246119281,0.15037995626275164,0.005961668349176469,0.10529570309489365,0.20584388259426203,0.9201689253939938,0.9789975780428257,0.009218382603335391,False,Kdm2b
Grhl1_390,0.20331970286291243,0.1976443788854908,0.005675323977421626,0.07909558865906302,0.2636138211147438,0.9465875910567261,0.9915561226983758,0.003682699422959365,False,Grhl1
Nkx29_564,0.11205324870855224,0.10672549114707727,0.005327757561474966,0.1378770143566806,0.14976580686407687,0.8579343739027421,0.955557952287755,0.019742968896179148,False,Nkx29
Olig2_72,0.002408704203903142,-0.0021280337536200757,0.004536737957523218,,0.000202446728502223,0.8815602994882376,0.966371618288774,0.01485583348450617,False,Olig2
Rhox9_572,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Rhox9
Rhox6_412,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Rhox6
Prrxl1_839,-0.01160658905876178,-0.01578211586605727,0.00417552680729549,-1.7736480165156192,-0.019893300357765528,0.853728186867911,0.9543577450158396,0.02028879766200524,False,Prrxl1
