,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Man2b1,-0.6403245605433765,-0.38781923429913007,-0.25250532624424643,0.7174044349460231,-1.0411852249376155,0.004073323164529918,0.01087185898006206,1.9636961895149005,True
Fam105a,-0.601064022940243,-0.3485109413625473,-0.2525530815776957,0.7802594337402946,-0.9290267932359799,0.0007314674902152711,0.0025635542881376327,2.591157481114567,True
Hsd17b10,-0.500879210323615,-0.2477852943420118,-0.25309391598160325,1.0098166510907385,-0.6765313579267823,0.0015834940194066566,0.004948418810645802,2.305533550866849,True
Speg,-0.42894075457555025,-0.1754719843351047,-0.25346877024044556,1.285915322700024,-0.5191276662051082,8.820545418339373e-05,0.00040898974119038826,3.3882875853918812,True
Tspo,-0.852940876947361,-0.5987863774740803,-0.2541544994732807,0.5051277703185035,-1.8670343352703882,0.02209144692216282,0.04520759943143823,1.3447885538230302,True
Sema6d,-0.3892856256606848,-0.13353244841189055,-0.25575317724879426,1.5431803725534987,-0.4371524843438327,1.3572475265130433e-09,2.8473724332441465e-08,7.545555723887724,True
Ms4a4c,-0.6504187940883777,-0.39415267098554,-0.25626612310283764,0.7166897466092468,-1.0657801297574878,1.3027433010497564e-08,2.0249895871239735e-07,6.693577205667202,True
F11r,-0.5616133202530849,-0.30457075162942604,-0.2570425686236588,0.8769322938516703,-0.818813558262479,5.500543814155729e-08,7.021970826581781e-07,6.153540979182953,True
Nfe2l2,-0.6944245633907491,-0.43735499347889056,-0.25706956991185853,0.6612060927676519,-1.2038667021795855,0.002920941278951786,0.008243484324417082,2.0838891835673494,True
Supt16,0.3646376309034924,0.6230587420314333,-0.2584211111279409,-0.7541677799787884,0.579033540523918,0.004037722822630843,0.010796050327889956,1.9667350995625432,True
Anpep,-0.7311365828201518,-0.4712470193590851,-0.25988956346106673,0.6279999151880868,-1.3262330251568735,0.0004969376074178466,0.0018292181868141593,2.737734489341559,True
Prkca,-0.122028096480126,0.13790250726461653,-0.2599306037447425,,0.01140576156487741,9.354540975281831e-07,8.12998948416206e-06,5.08991001614927,True
Ass1,-0.7506344226060139,-0.4897653150554051,-0.26086910755060877,0.6104373948461308,-1.3966876911449435,0.004115216812328001,0.010944725564702131,1.96079512374701,True
Tagap,-0.2668946417957542,-0.00583346444902645,-0.26106117734672774,6.088938003625025,-0.21150480138479166,2.0431753353838965e-05,0.00011587005682706406,3.9360287800407243,True
