,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Nr4a3-679,-0.15322390333640007,-0.1478361415867513,0.34666410623523697,-0.1748043039304673,-0.3069488850224802,-0.05511264237761631
Nfe2l2-101,-0.282386459465961,-0.19172975758964594,-0.06679411959248882,-0.1894505383708276,-0.13527323466038302,0.03633824847326471
X9430076C15Rik-128,0.2763576186121505,-0.2540857305457016,-0.14009693890838718,-0.3884854789722026,-0.2036011078351016,-0.32026304719352905
Cic-728,-0.4719773125750296,0.015734904421357943,-0.07898384834070982,-0.163566617791807,0.0002977610009646549,-0.11337729094312315
Batf3-789,-0.3065157237204233,-0.04615473079305443,-0.25207053197811796,-0.2415697194165416,-0.12837886214680827,-0.03927302319269799
Batf-790,-0.3065157237204233,-0.04615473079305443,-0.25207053197811796,-0.2415697194165416,-0.12837886214680827,-0.03927302319269799
Cebpa-115,-0.2938080828663079,-0.04736189328737804,-0.06967555191343111,-0.223196860235789,-0.06345181371839506,0.010097047826653657
Nfil3-138,0.12865301530387227,0.02305282004648065,0.15547772664966303,-0.23117521317703552,-0.19718541098157755,-0.025585680868090353
Atf4-121,-0.16900383111642933,-0.007811421638330391,0.09729352327090275,-0.07714793879255623,0.288153614283745,0.09794626823799098
Ddit3-788,0.36502874973610466,0.20690695801604148,-0.004080406232982622,-0.11590383192383032,0.0030853852876428865,0.0007891202488814639
Atf1-106,0.10448388879443969,-0.06614276819606374,-0.03861009151812636,-0.21047842110992943,-0.09551543668496791,-0.12305669458369645
Setbp1-12,-0.3095282686572636,-0.013300141387428126,0.010953301612509294,-0.1005814660645889,-0.16125558502484086,0.07558273491660727
Hes2-51,-0.46161297083348446,-0.11864550696761343,0.2076062065335633,0.015652400299495547,-0.24161425986455867,0.07194186720098156
Dmrt1-251,0.05048589895065436,0.14527703676013154,0.28265661011188986,0.15855104981192542,0.2259132898219511,0.1084096880411073
Cebpe-125,-0.27265296688897955,-0.19240317279884167,-0.11651110324293712,-0.02938419969382192,0.21991972133805768,0.08272210391690309
Naif1-637,-0.08502042483531322,-0.06429303269725697,-0.14373906775914158,-0.08341795720203525,0.16797269640974924,0.0060603436110222685
Hlf-99,0.338831785276415,-0.07181861436650477,0.16331262154398485,-0.04100850912420036,0.11828833751490898,0.04998160673815994
Nfil3-131,-0.3999682345048249,-0.14715313479937023,0.19059689408106703,-0.2324449967689765,-0.2982906926742598,-0.07389620839334832
Pou3f3-540,0.0012700329478091965,-0.11434747167364859,0.22188510051607668,-0.01638293652380876,0.054901704855339316,0.08287551432667581
Tef-105,-0.028990541405666648,-0.05993340332386838,-0.009229506316577315,-0.1959075068895845,-0.0853472399211285,-0.019951943769010636
Dbp-133,-0.0425969664652055,-0.029995191268457545,0.08685729160287525,-0.14846248759826472,3.5379092325677724e-05,0.041176107316866856
Nfix-722,-0.08198932008842097,0.2685364238154993,0.2305513537701929,0.1077078286448935,-0.3272618741583226,0.10965539199120238
Nhlh2-84,-0.6437478078728441,0.07418380113064213,0.046141292242178396,0.09291339128946395,-0.028172881887709677,-0.0012871703854145705
Tal1-782,-0.11526204908778276,0.1672092704046902,0.02855861791083168,0.23021396442535771,0.2654285359423605,0.13896517733772995
