,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Smarcc1-843,0.21651373178740624,-0.6781259034211573,-2.118246288602007,-1.505461773119647,-3.130563010690266,-1.6793021885589625
Ctcf-146,1.823219499502068,1.2843302278052546,1.72696680605805,0.8117575323315863,0.12818037385237183,0.2986155975632487
Ctcfl-820,1.96122170393581,1.2206974852902315,1.678367607138484,0.775365692806525,0.2276445558911626,0.4556186246981566
Cebpd-97,-0.12975405408581908,-1.2420839465986893,1.8905473167544984,-1.1660389064126504,-0.3695555248745596,0.8435093469836055
Cebpb-130,-0.12975405408581908,-1.2420839465986893,1.8905473167544984,-1.1660389064126504,-0.3695555248745596,0.8435093469836055
Cebpg-129,-0.3020159992354146,-1.5514228394295537,2.4833615542258096,-1.629773599248855,-0.5664160720734416,0.7249636329373381
Atf5-791,-0.28295525560342216,-1.3635618848504065,2.5573065971960105,-1.4929948713442067,-0.7760722866823888,0.7369540328488466
Mef2a-640,-1.454009100143212,-0.2469180714867127,-0.9651509827606399,0.3869169930327978,0.8697773245854418,0.014416029506111594
Mef2c-638,-1.0725463825438133,-0.03890154722584395,-0.744360733989844,0.43330448433348734,0.9800020470399876,0.11750688335021378
Mef2d-842,-1.2430073915604278,-0.11395044159666487,-0.6036400088968729,0.3850432996856995,0.924135716080057,0.24225669365516794
Mef2b-882,-1.2430073915604278,-0.11395044159666487,-0.6036400088968729,0.3850432996856995,0.924135716080057,0.24225669365516794
Irf2-636,-1.3047373951439736,0.041173395500799265,-0.8811164518662084,0.07609009887159454,0.4963507251600789,0.0855654302078938
Prdm1-189,-1.0986733517143537,-0.33328004931652927,-0.7971007717400649,-0.12317366141211554,0.4158569829612917,-0.09004671540288849
Irf4-632,-0.9158680557920278,-0.271454922058462,-0.5866374586949051,-0.30399723668804046,0.662534704260622,-0.009012441751984006
Elf1-285,-2.18584330243978,-0.30400591257831866,-0.8837425673961485,0.42807258968877554,0.601745346574002,0.11171834669213437
Ehf-275,-2.1172711083390734,-0.713052908135611,-0.8281256240349814,-0.07518938452740884,0.7931609170876893,0.06262630194121956
Elf5-281,-2.4316068339195858,-0.8401688890304639,-0.9050047887526859,-0.20858494727663385,0.7047612789513014,0.055204339710307
Irf1-631,-2.0072035211543313,-0.6095091114420581,-1.2560709899188482,-0.02805973403178346,1.086644527024604,0.10383933561579857
Stat2-758,-2.2004304206945595,-0.5943090279349614,-1.5461866400922977,-0.09229091721263208,1.0716792660872125,-0.053031772818090475
Nr1h4-850,-1.5465186692120036,-1.1478044973003827,-0.6346094609396405,-1.0502726608084532,-0.9227836317049175,-0.6885211858332239
Nr1h5-851,-1.5465186692120036,-1.1478044973003827,-0.6346094609396405,-1.0502726608084532,-0.9227836317049175,-0.6885211858332239
Zkscan5-217,-1.7501605460298226,-0.7701374471198232,-0.8512233240652288,-0.5348320804532234,-0.1687453939593847,-0.29840061314778527
Nr2f6-657,-0.7736439607281407,-0.38476886080947187,-0.3048666563295621,-0.6233214126880361,-0.8724461609684909,-0.45438412372428844
Nr5a2-675,-1.198484600538984,-0.7349482327441627,-0.29359683113206514,-0.8075502978939515,-0.8841548469841664,-0.5260238589677508
Esrrg-676,-1.198484600538984,-0.7349482327441627,-0.29359683113206514,-0.8075502978939515,-0.8841548469841664,-0.5260238589677508
Rxra-662,-1.139493016528399,-0.8001927602332418,-0.2223462297374038,-0.6266159562044941,-0.5206185414644894,-0.31734110427320356
Nr2f2-680,-1.2673567689050742,-0.4867856136228326,-0.26629874668445325,-0.6957420494285089,-0.3037360689254425,-0.38935255872065194
Hdx-495,-0.7452818319396328,-0.626226703260693,-0.21769655579124964,-0.572415528044405,-0.14228802466954998,-0.13992198713410103
Sp110-718,-1.129597870051586,-0.5924231886497625,-0.48816837879615754,-0.1337196452069196,-0.40086300340675524,-0.14593903210041215
Ikzf1-149,-1.1496758385255084,-0.15800427414509643,-0.09260141683964081,-0.29048647132904776,-0.2903357066698346,-0.27283250836549294
Ikzf4-796,-1.1496758385255084,-0.15800427414509643,-0.09260141683964081,-0.29048647132904776,-0.2903357066698346,-0.27283250836549294
Atf2-112,0.19235743060891053,-0.7970875749046225,0.11112309916156442,-0.810238939455488,-0.373808814648235,-0.28325781940605993
Jun-126,0.273331756572758,-0.7131524159893904,-0.03714988148287048,-0.9137139827987957,-1.004319623442545,-0.3468519467443761
Nr4a3-679,-0.11074375269769521,-0.5178303016570953,0.18750039791279488,-0.7164686735226323,-0.8333156945018505,-0.3597932654491569
Nfe2l2-101,-0.05814839186563874,-0.21056222459354715,-0.899322121934043,-0.6165744858808349,-1.7998718974885606,-0.7719177940305556
X9430076C15Rik-128,-0.45045567501935907,-1.195135933219957,-0.40341109603115116,-1.212628800746841,-0.8187020627880772,-0.7235664646850452
Cic-728,-0.27688188027598437,-0.5066241180191265,-0.7821378234638747,-0.6027176370444502,-0.748408063084859,-0.49281648381706655
Batf3-789,-0.6925297499612346,-0.7650722462897123,-1.1054032422329658,-0.8651022227411335,-1.2683209593390068,-0.6785539346331909
Batf-790,-0.6925297499612346,-0.7650722462897123,-1.1054032422329658,-0.8651022227411335,-1.2683209593390068,-0.6785539346331909
Cebpa-115,-0.3344775518648277,-0.9254902146632594,1.2406220842451001,-0.9677138699492638,-0.41526745131684073,0.5593574833490292
Nfil3-138,-0.07469639629541142,-0.7473828143172183,1.3909434971843282,-0.8635063065962905,-0.47842485992559075,0.09834503782211475
Atf4-121,0.3451069230140908,-0.21640205188221748,0.8306761881375673,-0.053343706676120456,0.12648266138832226,0.3843905574333979
Ddit3-788,0.5355944040775663,0.04539911527257904,0.7830979758032225,-0.20074465222935764,0.09639675945668194,0.21615021678254587
Atf1-106,0.16282790885680085,-0.34632665637689664,0.4364879589709121,-0.36275706295651355,-0.22106209515590539,0.055922247210633484
Setbp1-12,0.15781720145140996,-0.06019565042669076,0.6715621775726077,-0.3643613717306829,-0.0693294632064019,0.19473827916807718
Hes2-51,-0.057567636237871145,0.10510289958048047,0.5373209683897309,-0.16739231738958638,-0.06163197018306299,0.1399767074222463
Dmrt1-251,-0.07230518585057863,-0.007006998848299596,0.442490209033271,-0.2653527513532539,-0.1684070773729428,0.17197224270646277
Cebpe-125,-0.33099582950081713,-0.6005317882100506,0.861640091267338,-0.5641037372163308,-0.08704202823669592,0.4662540488423413
