,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Tbx5-764,0.38188156691569464,0.36833142633707083,0.31657057781440756,0.2840424070049991,-0.02635130388351183,0.06469702276644489
Gm5294-338,0.4005053625224179,-0.21010221601408258,0.13002125722962782,-0.1442176398038219,0.20436444688268796,0.05225608776285517
Foxl1-364,0.4005053625224179,-0.21010221601408258,0.13002125722962782,-0.1442176398038219,0.20436444688268796,0.05225608776285517
Foxl1-375,0.6178475234212126,0.025278671124609155,0.34591172723068225,0.15616026893274598,-0.04759318084993958,0.1585705306438637
Mnx1-402,0.3840940697960574,0.25447110143170465,0.09810665792028722,0.5118624375009225,-0.03364123745989594,0.18002992449476005
Dlx1-528,0.6586818463696837,0.1355510555966473,0.2407649908910655,0.23356325067186515,-0.01224498046949192,0.16156738327067297
Stat6-753,-0.69597759512385,-0.09272182745696429,-0.037587222477120624,-0.216774505835964,-0.07944154161200218,-0.05719243681818769
Six3-516,-0.20215634193535675,-0.12886653495618666,-0.0382697829895959,-0.27003337349085565,-0.6234286972499816,-0.22613114994218086
Pax2-612,0.07668687348336395,0.06074519575671728,-0.04043356279487755,0.10925711462626145,-0.011882863171104882,0.005599236943533039
Nr1h3-655,-0.24449927648192482,-0.22551096586531763,-0.3929809236507226,-0.20610704966929624,-0.33566732264867905,-0.1779123936417617
Nr1h2-688,-0.24449927648192482,-0.22551096586531763,-0.3929809236507226,-0.20610704966929624,-0.33566732264867905,-0.1779123936417617
Creb3l2-118,0.31745317922223004,0.10567736584708241,0.31356709403258665,-0.0900089499735436,0.002249329477081899,0.11734050739944585
Id2-33,0.0034039857447168004,-0.10470370866439448,0.09839168307936567,-0.14432266597622712,0.045555302505021246,0.1604939263123306
Id1-74,0.0034039857447168004,-0.10470370866439448,0.09839168307936567,-0.14432266597622712,0.045555302505021246,0.1604939263123306
Arnt-25,0.1617254995680572,0.17391287151499515,0.07778868312250749,-0.03787837951938306,-0.10786844445175253,0.04538297187542301
Bhlhe40-55,0.3831418674180967,-0.17031178006119366,0.1025663553292849,-0.24021738975070062,-0.01765602313098285,0.11915502873533712
Bcl6-162,-0.45427093806081,-0.2040311594568726,-0.004867693435008377,0.12808522255626328,0.1470810422188342,0.1207638667153098
Hic2-211,-0.38914076341629267,0.0777442516172803,-0.03962157810668194,0.3356145526142384,0.41122354821500906,0.011167269097027989
Nfatc1-703,-0.09159399622445193,0.13984201961702497,-0.2459716473725513,-0.15380100492174056,0.024510493533285823,-0.1173946200638895
Neurog2-49,-0.71206547801128,0.1285184128037915,0.20153074372720856,-0.032932085959503116,0.117687839758706,0.07376016419421835
E2f6-264,-0.6133304628335811,-0.03146911883773058,-0.106316467998459,-0.13419227176220838,-0.02905582280316289,0.0008062441625331411
Zfp281-193,0.5978360179012701,0.12393266767621872,0.13798202002145213,0.26454366853989986,0.3771208456893667,0.23626848673813122
Dlx6-477,-0.4696826194330379,-0.3109563696432898,0.11862038412840421,0.02592569975873039,0.255963653962242,-0.006995490575826688
Npas2-44,-0.613433465492815,0.1585884164817698,0.23796031386665026,0.010238199903798689,-0.04509684760750047,0.24529717558897884
Max-91,-0.34911933780930765,0.11683094905656342,0.2578896180133021,0.13391563333902914,-0.07863574776326422,0.14419023603035452
Hnf4a-665,-0.015478198157506506,0.2474359965186158,0.19360275628302695,-0.0792797000640547,0.13428407531385514,0.16214406586156502
Ubp1-836,-0.13079314214312002,0.10235416423588559,-0.017338910371662648,0.061340985871806177,0.04915514478953663,0.12468734610233691
Gfi1b-172,-0.5379603897296803,-0.04376147316847281,-0.23924799564524812,0.0017097550165336983,0.280827815885983,0.11525503844586919
NP-595,-0.14298162738971215,0.006276062246453853,-0.017292905475683105,0.3153000643276648,0.515695508293841,0.09352580671549991
Nkx22-462,-0.07849896272705448,0.1876361754646643,0.07382443516332513,0.11690289951573472,-0.10905655779806125,0.009440902298713515
Tbx18-866,0.08118834812758627,0.20991359490102487,-0.12995742415881525,-0.16330327811506404,0.1902934622885176,0.07191256638931888
Hoxb3-546,-0.24660145139378134,0.10342209067877768,0.06340716564127763,0.09194713667638295,0.02625008527604496,0.032246085649296506
T-771,0.10745668135380006,0.2167048505444626,0.15857807846254623,-0.06971625826430909,0.10936541757172727,-0.010016388132371446
En1-563,-0.18781423289534327,0.21143820905147273,-0.23971618521649013,0.3039803714694743,0.17164293997691127,0.14691180805888174
NP-596,-0.13658086158116423,0.021457504428950024,-0.27269731057134966,0.19987993571502197,0.029515757926572288,0.018488241067204446
NP-599,0.38778304795330554,0.3334746021410738,-0.19038202044582628,0.5144735513597529,0.28741634826251594,0.1175902727130877
Foxo1-314,-0.18668751145544057,0.15463064286531278,0.10593227048588677,0.5465007172922166,0.4378521380729646,0.17546040593171774
Foxq1-309,0.5064455103974248,0.3188898044047769,0.07240164356337336,0.3994921795245617,0.0771809371850505,0.010523123922943581
Emx1-491,0.17267113212915175,0.1376425917709478,0.11108932881711098,0.3619186315854421,0.223257116715267,0.1916234719388361
Hoxc12-550,-0.06976153150307628,0.05363619780934195,-0.19311505930649758,0.31460485319148884,0.31832374825624166,0.15418090012664112
Runx2-713,0.804409559297794,0.9632824949358293,-0.8505450692629349,1.1193510890293652,0.8602318310915203,0.25377128032480184
Atoh8-67,0.11980487021402206,0.3576734985922376,0.31772839401192066,1.037172162835266,1.0767168026332794,0.4373126694442296
Id3-22,0.28501811187016307,0.36342024013207547,0.4314389817138543,1.1464126664040433,0.9414465385282138,0.2857177153907909
Id4-35,0.28501811187016307,0.36342024013207547,0.4314389817138543,1.1464126664040433,0.9414465385282138,0.2857177153907909
Mesp2-57,0.7175591652135878,0.5478251142500016,0.35225678178588027,1.2399124501528394,0.7431753183828474,0.31595888200783034
