,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Ikzf1-149,-0.31230207249668884,0.0008582148924700069,0.03604682084767018,0.009428685086841644,-0.21650677703941174,-0.03838702814486619
Ikzf4-796,-0.31230207249668884,0.0008582148924700069,0.03604682084767018,0.009428685086841644,-0.21650677703941174,-0.03838702814486619
Atf2-112,0.7434473402354378,-0.07519152197186064,0.18313222656464528,-0.28439472206250366,-0.057374102050456316,0.010659883772038905
Jun-126,-0.1848250506448727,0.014069030635982298,0.3154226931859092,-0.11826666917421683,-0.05013959879449848,0.029238557571028147
Nr4a3-679,-0.13852244316292656,-0.07285286162399751,0.02848034096290498,-0.17585659146679997,-0.1320922030010968,-0.0005219773871547539
Nfe2l2-101,0.15255500233142216,-0.15255394749836065,0.18389805825124694,-0.06182717503408082,-0.1955549259652967,-0.06247628303021488
X9430076C15Rik-128,0.4716714431968419,-0.14747973926719754,0.09142948339996891,-0.2094628359191342,0.059445283366929426,-0.0399360519345746
Cic-728,0.40359419624603504,-0.16403718088736846,-0.3564434427368495,-0.09493961208294202,-0.19044814983426725,-0.08492685775595922
Batf3-789,-0.21645963336379612,-0.1280071228228152,-0.23332279369271955,-0.28545070845534076,-0.37188947512825143,-0.16975136462451065
Batf-790,-0.21645963336379612,-0.1280071228228152,-0.23332279369271955,-0.28545070845534076,-0.37188947512825143,-0.16975136462451065
Cebpa-115,0.17991247675902372,-0.24560152803582427,0.3917159714025732,-0.23141964115965213,-0.10865449342864555,0.12685110521599346
Nfil3-138,-0.2868519899588692,-0.4405004510271695,0.4200633529908124,-0.21797015549013243,-0.0456707209614021,-0.008189113824310161
Atf4-121,0.25645851017024984,0.5058399622830475,0.12555659511475506,0.15513463201957062,0.27436984611488296,0.1160809202904414
Ddit3-788,-0.3531686851907396,0.36952615816899936,0.1767693134609721,-0.054408638026029396,0.03296096573323903,0.1258601694471919
Atf1-106,-0.054050495241280805,-0.04687461463143992,0.2527932121539416,-0.17492372124409455,0.02287772626089535,0.05549060368417456
Setbp1-12,0.10079076331768086,0.2280151624943726,-0.006929774594524388,-0.22452217795235094,-0.015941921682007233,0.028952164227872838
Hes2-51,0.126343685778972,0.07504969518253977,0.11257096643995185,-0.16382804924824776,0.28230052279376583,-0.017520195317387254
Dmrt1-251,0.238676132314132,-0.2856114840427579,-0.1112149145857721,-0.32618067574623566,-0.25490305858682333,-0.1111079682864143
Cebpe-125,0.5147904671608928,-0.14194646713868397,0.1900089594527322,-0.15404524329384695,0.15492590544292392,0.0015367663740920258
Naif1-637,0.2861159376740461,0.32332669446462375,0.36805370039379265,0.023752624762818822,0.23886764869313798,0.08433214867512182
Hlf-99,0.23170293922493482,0.05450882269167185,0.34767282048134934,-0.00025294614016612815,0.2840280482761879,0.07314688186525518
Nfil3-131,-0.07804120152310393,0.10710016590888954,0.34704015789130827,-0.04334666307407689,0.002117112762874624,0.06685083665506888
Pou3f3-540,0.30258714488345845,0.3296906382578043,0.28264108851691894,-0.14651580349128074,-0.19850299681574518,0.04875190767940978
Tef-105,-0.22343200856802892,-0.024598670914549408,0.4975839209481734,-0.012819059525367589,0.35533773459046447,0.14317982348968025
Dbp-133,0.14435086806886,-0.024312598445111633,0.6575203997703722,0.22292965030923395,0.12420270097763692,0.19284493585047985
Nfix-722,0.2211624163314076,-0.15337056373880273,0.1039514526844562,0.27082523216366383,-0.19114195760859487,0.14313341949613761
Nhlh2-84,0.37754527645758973,0.11847335188181118,-0.06338675651792534,0.08488638663194038,0.1608010931198766,-0.08157995481018651
Tal1-782,0.5364064451411006,0.10013599278965751,-0.09325996883519065,0.16702463876899024,0.08783932135576882,-0.05271615653063788
Lyl1-783,0.5364064451411006,0.10013599278965751,-0.09325996883519065,0.16702463876899024,0.08783932135576882,-0.05271615653063788
Myod1-24,-0.1277950803915879,0.04977233016862308,0.17151889468693743,0.3232665210925735,0.1712503149440089,0.021701374159897622
Irf3-630,-0.27497710400144687,-0.18090400809447352,-0.3103573243027648,0.01681937117671068,-0.2881355092752357,-0.0611809093256214
Myf5-778,-0.5519028946753239,-0.08110017840483527,0.14905248672955954,0.11077019941316703,0.19359418857311603,-0.00497269723675427
Tbx4-761,0.11423129805555476,0.07263261598637549,-0.0689590250584657,0.31831369112098895,-0.07757461952176925,0.0549531636507449
Dlx4-427,0.742465185568323,0.09596526407833217,0.25420297901785943,0.07589267898623306,-0.013462830448429336,
Zfp161-209,0.2721077401126875,0.012193408580462197,-0.023964121622459963,0.04294585747850438,-0.0643044446579993,0.006958776628768245
Pou6f1-416,-0.5740148833013622,0.09934884536563007,-0.04405673660486236,0.002376459419252295,-0.10758799302322496,-0.14170136066756395
Tbx5-764,0.08811778965730209,0.005017962215275299,-0.12375420373382544,0.1846723693062758,-0.10001305898274389,0.02791214983419136
Gm5294-338,0.31964703552889384,-0.16691378341197305,0.08497793875842928,-0.029168127536763778,-0.2527074471185451,0.05614920161682868
Foxl1-364,0.31964703552889384,-0.16691378341197305,0.08497793875842928,-0.029168127536763778,-0.2527074471185451,0.05614920161682868
