,Neutro,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Rhox11_552,0.27749006422265554,0.02426687712643619,0.2532231870962193,3.473543530738999,0.20273549723037065,0.052012528017206114,0.22710420649096927,0.6437748215755213,False,Rhox11
Foxl1_356,0.5805136167821356,0.3309331730277829,0.24958044375435273,0.8371703989907404,0.5417362520274651,0.08131455780037683,0.29514172831247887,0.5299693838762468,False,Foxl1
Gm5294_333,0.5805136167821356,0.3309331730277829,0.24958044375435273,0.8371703989907404,0.5417362520274651,0.08131455780037683,0.29514172831247887,0.5299693838762468,False,Gm5294
Atf7_124,-0.24665022162234013,-0.49606286678517375,0.24941264516283362,-1.0883049083016774,-0.6696860911331287,0.07314465832946458,0.2817187277143571,0.5501842816167851,False,Atf7
Gmeb1_715,0.22650957960644033,-0.022660133103523147,0.24916971270996346,,0.14002567118563916,0.035904481234970836,0.18199857729450736,0.7399320069355836,False,Gmeb1
Bhlhe22_42,0.07405065888127772,-0.17485454866463926,0.248905207545917,,-0.0746111147184698,0.08918446802026177,0.3114205673070479,0.5066527084891802,False,Bhlhe22
Zic4_187,0.3047369240315858,0.05590517360763833,0.24883175042394748,2.4618946449763794,0.23917932784309867,0.05996660588367832,0.25306481526030755,0.5967682325600682,False,Zic4
Nr4a2_677,-0.25928017499769224,-0.5069289396384057,0.24764876464071345,-1.0433312363075387,-0.6969021064961091,0.026336429251420053,0.14701728227691446,0.8326316097665871,False,Nr4a2
Scrt2_221,0.4677131475362457,0.2224415259556196,0.2452716215806261,1.1026901130271922,0.4276891245530938,0.07851269071497212,0.29193497408454905,0.5347138730076637,False,Scrt2
Klf1_214,-0.10419721759545672,-0.3478367861025172,0.2436395685070605,-1.9435137227145503,-0.36962621941253765,0.04944585560520936,0.22578032760686548,0.6463139011354916,False,Klf1
Max_91,0.35756405361265686,0.11469524980117254,0.24286880381148432,1.671974035771411,0.3058300685375858,0.058094119884965635,0.24634141220451775,0.6084625732193905,False,Max
Klf14_237,0.4899356931901383,0.24806048309916867,0.24187521009096963,1.01178028393612,0.45312043182141276,0.07021451812286898,0.2728158809884161,0.5641303523993941,False,Klf14
Klf16_874,0.4899356931901383,0.24806048309916867,0.24187521009096963,1.01178028393612,0.45312043182141276,0.07021451812286898,0.2728158809884161,0.5641303523993941,False,Klf16
Klf11_798,0.4899356931901383,0.24806048309916867,0.24187521009096963,1.01178028393612,0.45312043182141276,0.07021451812286898,0.2728158809884161,0.5641303523993941,False,Klf11
Klf13_817,0.4899356931901383,0.24806048309916867,0.24187521009096963,1.01178028393612,0.45312043182141276,0.07021451812286898,0.2728158809884161,0.5641303523993941,False,Klf13
Grhl1_390,0.399092268681511,0.1573665194122097,0.2417257492693013,1.375112979135279,0.3541467689577527,0.018742123132449832,0.12066096790380111,0.9184331952338208,False,Grhl1
Nkx11_610,0.525403375401273,0.2885131490864221,0.2368902263148509,0.8935250584177153,0.4925795313129287,0.019536993540764647,0.12124064290120064,0.9163517693705358,False,Nkx11
Nkx11_468,0.525403375401273,0.2885131490864221,0.2368902263148509,0.8935250584177153,0.4925795313129287,0.019536993540764647,0.12124064290120064,0.9163517693705358,False,Nkx11
Zfp740_204,0.3898265016328452,0.1533914294303947,0.23643507220245052,1.3788490289362159,0.34665509340545764,0.04980588642015337,0.22578032760686548,0.6463139011354916,False,Zfp740
Nkx12_545,0.441186858091685,0.20922410402912026,0.23196275406256475,1.1085897019749893,0.4062160755420608,0.050899192713130134,0.22578032760686548,0.6463139011354916,False,Nkx12
Gm5294_348,0.6245193673173607,0.3953071742650773,0.2292121930522834,0.685120944497222,0.5944656837272504,0.1406301923004039,0.4196625029723988,0.37709983345631587,False,Gm5294
Foxl1_375,0.6245193673173607,0.3953071742650773,0.2292121930522834,0.685120944497222,0.5944656837272504,0.1406301923004039,0.4196625029723988,0.37709983345631587,False,Foxl1
Rxrb_686,-0.17842157175763707,-0.40759934936817627,0.2291777776105392,-1.3051648905403153,-0.5002392256997539,0.15856698437144223,0.4482566673577309,0.34847324203318214,False,Rxrb
Cdx2_473,0.3944560873694999,0.1663820889426022,0.22807399842689768,1.2794511091107854,0.3566160894803601,0.10608834982446065,0.3517666336284748,0.45374535736936866,False,Cdx2
Mycn_65,0.3487904459481232,0.1224563560645088,0.2263340898836144,1.54463229360949,0.30523909899504903,0.07489961293114458,0.2835255734131739,0.5474077625512399,False,Mycn
Mycl1_50,0.3487904459481232,0.1224563560645088,0.2263340898836144,1.54463229360949,0.30523909899504903,0.07489961293114458,0.2835255734131739,0.5474077625512399,False,Mycl1
Mycs_76,0.3487904459481232,0.1224563560645088,0.2263340898836144,1.54463229360949,0.30523909899504903,0.07489961293114458,0.2835255734131739,0.5474077625512399,False,Mycs
Mybl1_647,0.5306282007636023,0.30429420831618814,0.22633399244741415,0.8311102449517374,0.503309249605715,0.0768179275728939,0.28954449623629236,0.538284685874538,False,Mybl1
Hnf4g_664,-0.02726272157417675,-0.25304955347489166,0.2257868319007149,-4.273942541403974,-0.2178533877276041,0.0786443076767067,0.29193497408454905,0.5347138730076637,False,Hnf4g
Foxp1_302,0.1458350177431204,-0.07738259234360371,0.22321761008672414,,0.04855177583290129,0.13670575863409923,0.41558516742215584,0.38133996116698643,False,Foxp1
Six3_516,-0.005065454476710661,-0.2268942024160298,0.22182874793931914,,-0.1778488055100575,0.15381633920629995,0.44480659403264444,0.35182878318237476,False,Six3
Gmeb2_716,0.25105261612516405,0.030101935864686166,0.22095068026047787,3.047100895470564,0.1897641949340511,0.06145734968461393,0.25568576614070515,0.5922934481903637,False,Gmeb2
Mafk_102,0.05972421874098192,-0.15972242589546362,0.21944664463644553,,-0.07399922011318852,0.048467011973728664,0.22381101864308212,0.6501185361361268,False,Mafk
Neurod2_69,0.14173127099407692,-0.07701099713003191,0.21874226812410885,,0.04594634007337727,0.15270134417151968,0.44449698204382954,0.35213118336904525,False,Neurod2
Nfe2l3_871,-0.20708004875931096,-0.42443976101126785,0.21735971225195688,-1.1316829742797159,-0.5474254492318246,0.12017568804995354,0.37720625217102854,0.42342111747003625,False,Nfe2l3
Nfe2l1_117,-0.20708004875931096,-0.42443976101126785,0.21735971225195688,-1.1316829742797159,-0.5474254492318246,0.12017568804995354,0.37720625217102854,0.42342111747003625,False,Nfe2l1
Foxl1_379,0.9885002602037772,0.7717093665091214,0.21679089369465587,0.3741500788053293,0.9108130924850977,0.28057406706322696,0.6021078519459031,0.22032570922443653,False,Foxl1
Gm5294_353,0.9885002602037772,0.7717093665091214,0.21679089369465587,0.3741500788053293,0.9108130924850977,0.28057406706322696,0.6021078519459031,0.22032570922443653,False,Gm5294
Cxxc1_247,0.39046450226880197,0.17411404283685805,0.21635045943194392,1.2005219022291647,0.3587217572770693,0.054689714032399965,0.23687499956552746,0.6254807734844288,False,Cxxc1
Neurod4_787,0.2455443930941712,0.03151963474054859,0.2140247583536226,2.954490276990761,0.18717485859834854,0.15833827310416893,0.4482566673577309,0.34847324203318214,False,Neurod4
Neurod6_786,0.2455443930941712,0.03151963474054859,0.2140247583536226,2.954490276990761,0.18717485859834854,0.15833827310416893,0.4482566673577309,0.34847324203318214,False,Neurod6
Neurod1_784,0.2455443930941712,0.03151963474054859,0.2140247583536226,2.954490276990761,0.18717485859834854,0.15833827310416893,0.4482566673577309,0.34847324203318214,False,Neurod1
Atoh1_94,0.2455443930941712,0.03151963474054859,0.2140247583536226,2.954490276990761,0.18717485859834854,0.15833827310416893,0.4482566673577309,0.34847324203318214,False,Atoh1
Trp53_692,-0.10096408402670616,-0.31455752146007143,0.21359343743336529,-1.8503777959106502,-0.33599201231591685,0.09154237173408494,0.3178754798010351,0.49774297129194156,False,Trp53
Dlx2_443,0.30478493314313426,0.09205639792725295,0.2127285352158813,1.762277907944097,0.261134406920052,0.11366497182222823,0.36857538657060773,0.4334736702929595,False,Dlx2
Mnx1_402,0.4750498642516604,0.2626231472384597,0.2124267170132007,0.8868849186128811,0.45295014094454283,0.24651976165619216,0.5842221349129915,0.2334219925722293,False,Mnx1
Pit1_622,0.3226751268322468,0.11084231238182664,0.21183281445042018,1.5782728074550958,0.28304311337849064,0.0847553458691447,0.30264864395378793,0.519061267645057,False,Pit1
Myc_37,0.6194357860832418,0.41411305444890717,0.20532273163433462,0.6068734130614106,0.6010065391362156,0.22361920931760426,0.5509277726763323,0.25890533396892107,False,Myc
Twist1_785,0.05834343036210805,-0.1467478974843899,0.20509132784649795,,-0.06522269866869448,0.10743530514498284,0.3548986484564602,0.4498956545521509,False,Twist1
Pax1_855,0.08087957927708596,-0.12256547612253514,0.2034450553996211,,-0.030387815896172815,0.1907385873462708,0.499098488496135,0.30181374537888256,False,Pax1
Pax8_854,0.08087957927708596,-0.12256547612253514,0.2034450553996211,,-0.030387815896172815,0.1907385873462708,0.499098488496135,0.30181374537888256,False,Pax8
Pknox2_501,0.19481394092918303,-0.006385646102522936,0.20119958703170596,,0.12989511397799058,0.14083911664379825,0.4196625029723988,0.37709983345631587,False,Pknox2
Dmbx1_466,0.5293780648272771,0.32975902593429185,0.19961903889298527,0.7125789971528952,0.5155797964013931,0.10930944354129182,0.3570775155682199,0.4472374955705365,False,Dmbx1
Hic1_198,0.10881777193649092,-0.09059681241722334,0.19941458435371426,,0.013084132695912023,0.21662294550376693,0.5366894323997822,0.2702769560370659,False,Hic1
Dlx1_528,0.3419503816182514,0.14380033294774633,0.1981500486705051,1.2888396918730203,0.313681621856074,0.08240305627003429,0.2978667853695502,0.5259779215413947,False,Dlx1
Arid2_11,0.4005275167021733,0.20331301101451799,0.1972145056876553,1.0146368552113176,0.3806410933125105,0.10245320188363795,0.3435883044158505,0.4639616277689291,False,Arid2
Tcfap2b_2,0.15661055540641253,-0.039817470181168636,0.19642802558758116,,0.0818802539894584,0.1474348157356951,0.43345835826294365,0.363052618246092,False,Tcfap2b
Arid5b_8,0.10548598774858411,-0.08842482750893378,0.1939108152575179,,0.012254829234322131,0.19126450012663676,0.499098488496135,0.30181374537888256,False,Arid5b
Zfp354c_202,-0.08276015438812584,-0.2765738975695657,0.19381374318143985,-2.003557012317867,-0.2857184748365167,0.23319686845865417,0.5681757955263342,0.2455172713051839,False,Zfp354c
Hoxb6_394,0.07501287421721868,-0.11820234717597895,0.19321522139319763,,-0.031495929743781806,0.2850889967975422,0.6088341287540732,0.2155010107806307,False,Hoxb6
Cdx1_448,0.3502367316474866,0.15715055224322266,0.19308617940426392,1.195615490018376,0.3261848479453673,0.1660184829961966,0.463380702540017,0.33406205633562347,False,Cdx1
Cdx4_481,0.3502367316474866,0.15715055224322266,0.19308617940426392,1.195615490018376,0.3261848479453673,0.1660184829961966,0.463380702540017,0.33406205633562347,False,Cdx4
Foxd2_322,0.1375818018886184,-0.05523666043287245,0.19281846232149086,,0.058209210135374015,0.13589043353788782,0.4147244373024812,0.3822403734304522,False,Foxd2
Foxe3_315,0.1375818018886184,-0.05523666043287245,0.19281846232149086,,0.058209210135374015,0.13589043353788782,0.4147244373024812,0.3822403734304522,False,Foxe3
Hoxd8_460,0.1984892006789117,0.008151806363968443,0.19033739431494326,4.389519713127546,0.141851940226493,0.1395891437127488,0.4196625029723988,0.37709983345631587,False,Hoxd8
Irx2_400,-0.052201350141929594,-0.24155548148584108,0.1893541313439115,-2.6594950028121875,-0.2291767303632533,0.10442352664157031,0.34886950946160994,0.457336985413493,False,Irx2
Stat6_753,-0.06905743929528207,-0.2576746795202267,0.18861724022494464,-2.2228060686371105,-0.25733156842002275,0.1576536379918444,0.4482566673577309,0.34847324203318214,False,Stat6
Dobox4_611,0.12553235540120586,-0.06191379530550919,0.18744615070671505,,0.04517632719811022,0.06914084911916786,0.2728158809884161,0.5641303523993941,False,Dobox4
Obox1_558,0.4828746131809454,0.2991142675245648,0.18376034565638055,0.7234001083436984,0.4761166536029857,0.09671926132381363,0.3319314727144109,0.47895156718109244,False,Obox1
Nr6a1_689,0.045418799169425345,-0.13790435126050646,0.1833231504299318,,-0.06830601562820994,0.17397557825030452,0.4721429538977495,0.3259264871938744,False,Nr6a1
Gm10391_575,0.5611668118492891,0.37989979457567163,0.18126701727361744,0.5915027694203432,0.5563394573534591,0.11870419380236481,0.37660826954563226,0.4241101479980434,False,Gm10391
Gm10394_576,0.5611668118492891,0.37989979457567163,0.18126701727361744,0.5915027694203432,0.5563394573534591,0.11870419380236481,0.37660826954563226,0.4241101479980434,False,Gm10394
Duxbl_544,0.5611668118492891,0.37989979457567163,0.18126701727361744,0.5915027694203432,0.5563394573534591,0.11870419380236481,0.37660826954563226,0.4241101479980434,False,Duxbl
Gm4830_538,0.5055131561473843,0.3246994913329287,0.18081366481445565,0.6699892901958256,0.5009104537426289,0.10508694886917291,0.3497610901985302,0.45622850604080994,False,Gm4830
Dux_392,0.5367644927367994,0.3566721607585036,0.18009233197829577,0.6195179996861806,0.5327840592840559,0.0635294567695756,0.2606185156779799,0.5839947330166708,False,Dux
Sp6_191,0.3287460221561143,0.14868358418936445,0.18006243796674987,1.1868198020905243,0.30884406527489644,0.10879576963907046,0.3567207019392571,0.44767168607208996,False,Sp6
Sp5_238,0.3287460221561143,0.14868358418936445,0.18006243796674987,1.1868198020905243,0.30884406527489644,0.10879576963907046,0.3567207019392571,0.44767168607208996,False,Sp5
Pou4f2_840,0.4493152902281432,0.2707721893082227,0.17854310091992048,0.7651871315148503,0.4436530501020264,0.1949757935558818,0.5020531537793393,0.29925030044260725,False,Pou4f2
Pou4f1_841,0.4493152902281432,0.2707721893082227,0.17854310091992048,0.7651871315148503,0.4436530501020264,0.1949757935558818,0.5020531537793393,0.29925030044260725,False,Pou4f1
Msc_43,0.2871324305863671,0.11026032679107692,0.1768721037952902,1.4249181032768925,0.2614662805780496,0.2106316248133292,0.5277758326288533,0.27755050042940776,False,Msc
Gbx2_494,0.4452833156877479,0.26856830312387553,0.1767150125638724,0.7642887405191994,0.4403418428434713,0.09797076582399895,0.33492331572390344,0.4750546179490338,False,Gbx2
Lhx8_465,0.5037303999303053,0.3279448746894405,0.17578552524086483,0.6507719699952818,0.5016558323148296,0.15203530541034024,0.44449698204382954,0.35213118336904525,False,Lhx8
Esr1_666,-0.7702401615176301,-0.9459154163569123,0.17567525483928226,-0.32035828415973533,-2.8168277036392326,0.13467449280963978,0.4147244373024812,0.3822403734304522,False,Esr1
Dlx6_477,0.24814634574565078,0.07550451643955626,0.1726418293060945,1.7595916891967354,0.21639331433903583,0.11724686327657946,0.37660826954563226,0.4241101479980434,False,Dlx6
Klf8_194,0.05878506036500109,-0.11381540895029726,0.17260046931529835,,-0.04025235589140969,0.11925434000024164,0.3769975909685058,0.42366142494653436,False,Klf8
Zbtb1_182,0.20326292729442128,0.033815041059123,0.16944788623529827,2.6027005073127527,0.16161553918504376,0.06843258995802085,0.2718808303737585,0.5656214123330092,False,Zbtb1
Sox3_739,0.20363238805158548,0.03832803786035458,0.1653043501912309,2.433930926328608,0.16476081255704092,0.26799076155208357,0.5931462157639434,0.2268382360251742,False,Sox3
Sp3_802,0.3953550503114915,0.2351135318527288,0.1602415184587627,0.7887812909911674,0.39531981888982515,0.18605320320970653,0.49667284165248016,0.3039295868196157,False,Sp3
Nfil3_137,0.3100182695801907,0.15112511883274357,0.15889315074744711,1.0826357827643736,0.2993287129468457,0.12774842326043429,0.39673982153416565,0.4014942063708446,False,Nfil3
Myb_644,0.613419992280207,0.45588758244763505,0.157532409832572,0.45509488395258973,0.6179132252440983,0.20698331077351617,0.5215147518788679,0.2827334023496692,False,Myb
Fosl1_107,-0.6964149622846261,-0.8523059703153555,0.15589100803072942,-0.31793694454379684,-2.1479082342597957,0.7188956100050903,0.8943101946748796,0.04851181848643054,False,Fosl1
Foxl1_365,-0.037461009708321204,-0.19281112625688984,0.15535011654856865,-3.0414856632412044,-0.17647246985682002,0.21318448906135612,0.529658364372158,0.27600416494264973,False,Foxl1
Sry_748,0.03765773725970308,-0.11754802521667423,0.15520576247637732,,-0.058811253377342824,0.3352603357040733,0.660926179706057,0.17984704510839444,False,Sry
Hoxc8_405,0.31287188493451856,0.15872225325349956,0.154149631681019,1.0254160867655515,0.3054418569573779,0.31581662706857094,0.644792280264999,0.19058017073519626,False,Hoxc8
Gsc2_442,0.29286069500016304,0.1426486933130838,0.15021200168707924,1.0863732267733313,0.2842235444375927,0.40681196914335505,0.7292848715130877,0.13710279546830895,False,Gsc2
Ikzf4_796,-0.09260141683964068,-0.2419255127790723,0.1493240959394316,-1.6152130698719018,-0.26406797324169456,0.2774769436514677,0.5998398634818493,0.2219646757640261,False,Ikzf4
Ikzf1_149,-0.09260141683964068,-0.2419255127790723,0.1493240959394316,-1.6152130698719018,-0.26406797324169456,0.2774769436514677,0.5998398634818493,0.2219646757640261,False,Ikzf1
Sp7_222,0.3171311767211922,0.16860647054998096,0.14852470617121122,0.9579747684513389,0.31367403776049957,0.25872984023138024,0.5888866684621918,0.22996827736455847,False,Sp7
Sp9_231,0.3171311767211922,0.16860647054998096,0.14852470617121122,0.9579747684513389,0.31367403776049957,0.25872984023138024,0.5888866684621918,0.22996827736455847,False,Sp9
Sp8_207,0.3171311767211922,0.16860647054998096,0.14852470617121122,0.9579747684513389,0.31367403776049957,0.25872984023138024,0.5888866684621918,0.22996827736455847,False,Sp8
Klf12_236,0.04253851508007345,-0.10528556824475833,0.14782408332483177,,-0.04598766127836401,0.2525733842015838,0.5888866684621918,0.22996827736455847,False,Klf12
Patz1_153,0.1524579451731552,0.005659834750938251,0.14679811042221694,4.444174824190159,0.10977360248839063,0.2928410331160656,0.6201620339795335,0.20749482458351196,False,Patz1
Tcfl5_71,0.08443290005656703,-0.062250155760203076,0.1466830558167701,,0.015913379227580595,0.12524761231198409,0.3917318938268438,0.40701106784677243,False,Tcfl5
Creb3_870,-0.5824857646140769,-0.7290077983630746,0.14652203374899775,-0.3555718802080197,-1.5384579523389899,0.26267128950314134,0.590247877120788,0.2289655662253226,False,Creb3
Creb3l3_116,-0.5824857646140769,-0.7290077983630746,0.14652203374899775,-0.3555718802080197,-1.5384579523389899,0.26267128950314134,0.590247877120788,0.2289655662253226,False,Creb3l3
Klf10_810,0.3076895027905217,0.16131449010578347,0.14637501268473824,0.9792968462344068,0.3039291696224688,0.19444239858872947,0.5020531537793393,0.29925030044260725,False,Klf10
Rxrg_661,-0.2831221808346652,-0.4294829242103251,0.14636074337565985,-0.6691379457746253,-0.6355453469017037,0.3920735156336298,0.7130079191522918,0.14690564655059965,False,Rxrg
Klf7_171,0.04612736077209465,-0.0990214814866644,0.14514884225875904,,-0.03866866326238607,0.2538609208446746,0.5888866684621918,0.22996827736455847,False,Klf7
Zfp524_212,0.25697966284861445,0.11189625623126699,0.14508340661734748,1.2519845950163095,0.24420263267847858,0.2474687772339006,0.5842221349129915,0.2334219925722293,False,Zfp524
Gm5294_331,0.024691996685440344,-0.11906286156677505,0.1437548582522154,,-0.06973262418644208,0.27135277358393084,0.5931462157639434,0.2268382360251742,False,Gm5294
Foxl1_354,0.024691996685440344,-0.11906286156677505,0.1437548582522154,,-0.06973262418644208,0.27135277358393084,0.5931462157639434,0.2268382360251742,False,Foxl1
Foxa3_831,0.024691996685440344,-0.11906286156677505,0.1437548582522154,,-0.06973262418644208,0.27135277358393084,0.5931462157639434,0.2268382360251742,False,Foxa3
Tgif2_566,0.18318017962506622,0.03966930462676673,0.14351087499829948,2.244546564324201,0.1524102625011289,0.23502459309234014,0.5694826678775935,0.244519489073318,False,Tgif2
Klf2_819,0.032119851993301134,-0.11017886304634983,0.14229871503965097,,-0.05743595954940043,0.23840171453144965,0.5729436300183613,0.24188810469271635,False,Klf2
Klf6_794,0.032119851993301134,-0.11017886304634983,0.14229871503965097,,-0.05743595954940043,0.23840171453144965,0.5729436300183613,0.24188810469271635,False,Klf6
Klf3_804,0.032119851993301134,-0.11017886304634983,0.14229871503965097,,-0.05743595954940043,0.23840171453144965,0.5729436300183613,0.24188810469271635,False,Klf3
Tcfec_53,-0.16069682247286862,-0.30207266903358243,0.1413758465607138,-1.0352869077694917,-0.3796664858977962,0.310981250641405,0.6416167923879437,0.1927242782245366,False,Tcfec
