,pDC/Ccr7DC,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Barx2_488,0.1957273602290726,0.18742457474089153,0.008302785488181086,0.08631614718483933,0.25287093173811853,0.7487642155838251,0.9373033539319485,0.028119828944573978,False,Barx2
Dmrt1_251,-0.05364167200539883,-0.06148376083815859,0.007842088832759761,-0.3015086833647018,-0.08553148041187104,0.6179043367565233,0.9272409367279232,0.03280740296919602,False,Dmrt1
Zfp652_239,0.35424235394167763,0.34675954527218067,0.007482808669496965,0.044235331439709785,0.4334946542805903,0.9989626339599127,0.9989626339599127,0.00045075618694769855,False,Zfp652
E2f4_257,0.29002731822713157,0.28271261510555196,0.007314703121579613,0.05318129452399195,0.36330562891233503,0.9147530063401064,0.9765199549239301,0.010318877593943373,False,E2f4
NP_593,0.06864601474718446,0.06171415982170829,0.006931854925476169,0.21634707764423833,0.09109736384845188,0.9312732404623025,0.9765199549239301,0.010318877593943373,False,NP
Nkx24_557,0.10470060270858013,0.0983922448640383,0.006308357844541826,0.13286453188896014,0.13953029753989132,0.6578262288706778,0.9373033539319485,0.028119828944573978,False,Nkx24
Rxra_662,-0.4513329910532229,-0.4574935307533402,0.006160539700117318,-0.030527096537668323,-0.8741195159063296,0.7573205076258965,0.9373033539319485,0.028119828944573978,False,Rxra
Srf_639,-0.0011099249785148234,-0.007104466350964198,0.005994541372449374,,-0.00593763269114504,0.9281732229352383,0.9765199549239301,0.010318877593943373,False,Srf
Zfp691_203,-0.03852215174244472,-0.044070512912117,0.005548361169672278,-0.3439830000378379,-0.06084314329810948,0.7831644716835926,0.9373033539319485,0.028119828944573978,False,Zfp691
Tcfe3_17,-0.28960907162272365,-0.29494580747461335,0.005336735851889707,-0.04356112177996886,-0.49874418529283226,0.8760192217816056,0.9678971915911508,0.014170770269963653,False,Tcfe3
Mlxip_70,-0.014175537361444482,-0.01917405099240548,0.0049985136309609966,-0.9647872142163855,-0.024259470552306373,0.9588693689377922,0.9842973035096615,0.006873704645868251,False,Mlxip
Pax5_694,-0.14758278595108223,-0.15241256774534673,0.004829781794264493,-0.08093829701621748,-0.2344613105841053,0.6719931022590677,0.9373033539319485,0.028119828944573978,False,Pax5
E2f8_263,0.3597773533618266,0.3550996160704626,0.004677737291364004,0.032177256151478394,0.4408868206404461,0.9516192567443135,0.9842973035096615,0.006873704645868251,False,E2f8
Glis1_185,0.11377749479492867,0.10962483294462891,0.004152661850299763,0.09416741657358917,0.15276902965870962,0.9181919261585294,0.9765199549239301,0.010318877593943373,False,Glis1
Hoxd10_551,0.15570728815321855,0.15165530556552798,0.004051982587690572,0.06811232615295747,0.20624473616443456,0.7616099063625359,0.9373033539319485,0.028119828944573978,False,Hoxd10
Rbpj_824,-0.030737747025920175,-0.03345307773342372,0.0027153307075035472,-0.31056663943984725,-0.04706325580828335,0.864418385019148,0.9678971915911508,0.014170770269963653,False,Rbpj
Rbpsuhrs3_825,-0.030737747025920175,-0.03345307773342372,0.0027153307075035472,-0.31056663943984725,-0.04706325580828335,0.864418385019148,0.9678971915911508,0.014170770269963653,False,Rbpsuhrs3
Hnf4g_664,-0.3249423997299816,-0.32748647221992033,0.002544072489938709,-0.02648341062581787,-0.5696385760931397,0.7765136970422646,0.9373033539319485,0.028119828944573978,False,Hnf4g
Foxl1_361,0.39134045375761695,0.3890047428601104,0.00233571089750656,0.020923378163262302,0.475264013355819,0.9392001355671737,0.9791660987827983,0.00914363131619513,False,Foxl1
Nfatc1_703,-0.05500402883833412,-0.056315711410951694,0.001311682572617573,-0.1302244225438782,-0.08262151569891,0.9865148797408635,0.9966851362330373,0.001442018412185853,False,Nfatc1
Tbx15_864,-0.008570046745058976,-0.009839316662746274,0.0012692699176872976,-1.2954979022148883,-0.013341043306478421,0.9326513635953162,0.9765199549239301,0.010318877593943373,False,Tbx15
Tbx18_866,-0.008570046745058976,-0.009839316662746274,0.0012692699176872976,-1.2954979022148883,-0.013341043306478421,0.9326513635953162,0.9765199549239301,0.010318877593943373,False,Tbx18
Tbx22_865,-0.008570046745058976,-0.009839316662746274,0.0012692699176872976,-1.2954979022148883,-0.013341043306478421,0.9326513635953162,0.9765199549239301,0.010318877593943373,False,Tbx22
Bhlha15_87,-0.1749477068484714,-0.1760543412728927,0.0011066344244212989,-0.03764525037499193,-0.27841039310841015,0.8811458717660666,0.9678971915911508,0.014170770269963653,False,Bhlha15
Klf16_874,0.14987193487483194,0.14915318380296982,0.0007187510718621171,0.03856590784231687,0.2010222287328784,0.7200388409603911,0.9373033539319485,0.028119828944573978,False,Klf16
Klf14_237,0.14987193487483194,0.14915318380296982,0.0007187510718621171,0.03856590784231687,0.2010222287328784,0.7200388409603911,0.9373033539319485,0.028119828944573978,False,Klf14
Klf13_817,0.14987193487483194,0.14915318380296982,0.0007187510718621171,0.03856590784231687,0.2010222287328784,0.7200388409603911,0.9373033539319485,0.028119828944573978,False,Klf13
Klf11_798,0.14987193487483194,0.14915318380296982,0.0007187510718621171,0.03856590784231687,0.2010222287328784,0.7200388409603911,0.9373033539319485,0.028119828944573978,False,Klf11
Hoxc11_404,0.1630311760312177,0.16236983132021446,0.0006613447110032367,0.03501103340248772,0.21747952543853674,0.9126904159619597,0.9765199549239301,0.010318877593943373,False,Hoxc11
Gm5294_348,0.4569592472889566,0.45668023529104135,0.0002790119979152461,0.01145168547947122,0.5428223774467542,0.9157845177159767,0.9765199549239301,0.010318877593943373,False,Gm5294
Foxl1_375,0.4569592472889566,0.45668023529104135,0.0002790119979152461,0.01145168547947122,0.5428223774467542,0.9157845177159767,0.9765199549239301,0.010318877593943373,False,Foxl1
Foxj1_305,0.513373155090664,0.5138726955137498,-0.0004995404230858647,0.008022950011033307,0.5980058449853295,0.742530977071926,0.9373033539319485,0.028119828944573978,False,Foxj1
Gm5294_335,0.513373155090664,0.5138726955137498,-0.0004995404230858647,0.008022950011033307,0.5980058449853295,0.742530977071926,0.9373033539319485,0.028119828944573978,False,Gm5294
Foxl1_357,0.513373155090664,0.5138726955137498,-0.0004995404230858647,0.008022950011033307,0.5980058449853295,0.742530977071926,0.9373033539319485,0.028119828944573978,False,Foxl1
Mbd1_248,0.14563592199127584,0.1462942902534784,-0.0006583682622025577,0.02620268717466549,0.1965631156562273,0.8176572638337373,0.9501629864312995,0.02220189151493431,False,Mbd1
Rfx4_706,0.26009038685828995,0.26100777679163095,-0.0009173899333410063,0.013425610928143924,0.3340522933070349,0.9044460719177533,0.9765199549239301,0.010318877593943373,False,Rfx4
Esrrg_676,-0.7320992599296946,-0.7302667781564626,-0.0018324817732320309,-0.0030616345223222347,-1.8953038199829164,0.9226648013800711,0.9765199549239301,0.010318877593943373,False,Esrrg
Nr5a2_675,-0.7320992599296946,-0.7302667781564626,-0.0018324817732320309,-0.0030616345223222347,-1.8953038199829164,0.9226648013800711,0.9765199549239301,0.010318877593943373,False,Nr5a2
Nr5a1_848,-0.7320992599296946,-0.7302667781564626,-0.0018324817732320309,-0.0030616345223222347,-1.8953038199829164,0.9226648013800711,0.9765199549239301,0.010318877593943373,False,Nr5a1
Hoxb13_547,0.30387689845834737,0.30613250158893346,-0.0022556031305860924,0.005237857239006049,0.384055002725112,0.936786927995268,0.9789645384974246,0.00923303956950695,False,Hoxb13
Gm5294_342,-0.14534143258700774,-0.14252423514912904,-0.002817197437878699,-0.005751942030928484,-0.22420410148055658,0.8845664211458357,0.9678971915911508,0.014170770269963653,False,Gm5294
Nr1h3_655,-0.3205763968802267,-0.3176502966387936,-0.0029261002414331383,-0.002059330466105951,-0.5545134411698769,0.8139554014430355,0.9483601903206833,0.0230266848572031,False,Nr1h3
Nr1h2_688,-0.3205763968802267,-0.3176502966387936,-0.0029261002414331383,-0.002059330466105951,-0.5545134411698769,0.8139554014430355,0.9483601903206833,0.0230266848572031,False,Nr1h2
Hoxc10_440,0.04226201710906685,0.04573416187605625,-0.003472144766989399,-0.0028983444996617358,0.06211907179081565,0.8845664211458357,0.9678971915911508,0.014170770269963653,False,Hoxc10
Hoxd3_583,0.04226201710906685,0.04573416187605625,-0.003472144766989399,-0.0028983444996617358,0.06211907179081565,0.8845664211458357,0.9678971915911508,0.014170770269963653,False,Hoxd3
Klf4_143,-0.3050692392862472,-0.30148225640715465,-0.0035869828790925373,0.0010143529947317842,-0.5213403122007206,0.5555933319219466,0.9091527249631852,0.041363155240747435,False,Klf4
Hesx1_523,0.16411725658825752,0.16825864231508023,-0.0041413857268227106,-0.006497226549574952,0.221800320176789,0.8855930086327196,0.9678971915911508,0.014170770269963653,False,Hesx1
Alx4_521,0.16411725658825752,0.16825864231508023,-0.0041413857268227106,-0.006497226549574952,0.221800320176789,0.8855930086327196,0.9678971915911508,0.014170770269963653,False,Alx4
Shox2_463,0.16411725658825752,0.16825864231508023,-0.0041413857268227106,-0.006497226549574952,0.221800320176789,0.8855930086327196,0.9678971915911508,0.014170770269963653,False,Shox2
