,Ery/Meg,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Usf2_95,-0.27871777248196294,-0.2565766115924646,-0.022141160889498357,0.010833915504109455,-0.44938926649328087,0.9586183648665881,0.9842856784776841,0.006878833906139197,False,Usf2
Nr2f2_680,-0.48678561362283196,-0.46319284966654367,-0.023592763956288287,0.010505325517627534,-0.9295810810733932,0.8677366939751228,0.9515897711156506,0.021550234953292672,False,Nr2f2
Yy1_154,0.33097701981021904,0.3551747995541817,-0.024197779743962644,-0.016148047832714934,0.425540847153417,0.8452397533906761,0.9507773610316496,0.021921167810584643,False,Yy1
NP_586,0.11058984938289566,0.13505316963172914,-0.02446332024883348,-0.045349411161427995,0.16712860644285613,0.7740276193524864,0.9254722151008488,0.03363661527900511,False,NP
Trp53_692,-0.22345729876668088,-0.19892898336286544,-0.02452831540381545,0.031206339919744124,-0.3422559984088404,0.8981576208796545,0.9630725267987247,0.016341005915522,False,Trp53
Bhlhe23_77,-0.04341890175839844,-0.01840559684975799,-0.025013304908640448,0.3696502027387553,-0.045300787593776405,0.7186622544707789,0.9086755669241825,0.041591149390710645,False,Bhlhe23
Ahr_28,-0.11386033828777214,-0.0877655506740634,-0.026094787613708745,0.09554952060080782,-0.15330682787038977,0.8082876580229261,0.9331278983981948,0.030058825962232347,False,Ahr
Ahrr_36,-0.11386033828777214,-0.0877655506740634,-0.026094787613708745,0.09554952060080782,-0.15330682787038977,0.8082876580229261,0.9331278983981948,0.030058825962232347,False,Ahrr
Clock_52,0.18150347513774617,0.20791935739844783,-0.026415882260701656,-0.043207239633075524,0.25666217586433576,0.8444661335162928,0.9507773610316496,0.021921167810584643,False,Clock
Rreb1_192,0.14967023479437908,0.1762020968358332,-0.026531862041454135,-0.05200807472684522,0.21777190868605523,0.726807366986039,0.9118692712399522,0.040067419181052624,False,Rreb1
Foxd2_322,-0.006579825156619365,0.02085672443202398,-0.027436549588643343,-0.5471570571321189,0.010262021851245143,0.8259459173569879,0.9448564190776437,0.02463418211497328,False,Foxd2
Foxe3_315,-0.006579825156619365,0.02085672443202398,-0.027436549588643343,-0.5471570571321189,0.010262021851245143,0.8259459173569879,0.9448564190776437,0.02463418211497328,False,Foxe3
Myog_45,0.1476110585730228,0.1773508558953086,-0.029739797322285794,-0.07866543074733942,0.21720708342165695,0.8942481592512413,0.9630725267987247,0.016341005915522,False,Myog
Prdm4_186,0.021013280015371272,0.05150202413049293,-0.030488744115121657,-0.3073770255046124,0.051382755102846164,0.7342389344466392,0.9146874861326777,0.038727262470331696,False,Prdm4
Dmrt1_251,-0.007006998848299586,0.024060323282482955,-0.031067322130782542,-0.7763394667393336,0.012249224694474892,0.9720113184267786,0.9907726215491229,0.004026002968742523,False,Dmrt1
NP_597,0.028959466533559484,0.060786026888057565,-0.03182656035449808,-0.2948157708461031,0.06332724960929968,0.9255878311982337,0.9707116136942237,0.012909774400660478,False,NP
Hes7_40,0.043220374191770314,0.07527171362174226,-0.032051339429971945,-0.2397104044614277,0.08303774050566252,0.9083335620124808,0.9637514052506081,0.016034975693630087,False,Hes7
Twist1_785,-0.14304618780020037,-0.11094297468491177,-0.032103213115288604,0.14933347775547814,-0.195937486175568,0.9932971885631471,0.9988171374431303,0.0005140147456646978,False,Twist1
Ascl2_23,0.43063125783705813,0.4639654027507614,-0.03333414491370329,-0.04117849651525909,0.5333623339453658,0.8537592629671955,0.9507773610316496,0.021921167810584643,False,Ascl2
Ascl1_780,0.43063125783705813,0.4639654027507614,-0.03333414491370329,-0.04117849651525909,0.5333623339453658,0.8537592629671955,0.9507773610316496,0.021921167810584643,False,Ascl1
Zfp691_203,-0.054442779402379966,-0.020821829372072897,-0.03362095003030707,0.775574585913095,-0.055339879390681156,0.3852573815381768,0.7276167248751005,0.13809732687423984,False,Zfp691
Zic1_181,0.1419726082000963,0.1776147474786936,-0.0356421392785973,-0.12949710367836886,0.21386817911788625,0.860742525772122,0.9515897711156506,0.021550234953292672,False,Zic1
Zfp652_239,0.26987444264875643,0.306087528271832,-0.03621308562307557,-0.07689439592763035,0.3651112950172591,0.902852231488955,0.9630725267987247,0.016341005915522,False,Zfp652
Nr3c1_673,-0.009305641597973334,0.026921693663174484,-0.03622733526114782,-1.1629278400837935,0.012651658843173104,0.9767403232657643,0.9932951646385433,0.002921678668921517,False,Nr3c1
Nr2e3_683,-0.2298085775698062,-0.19312587573865084,-0.03668270183115535,0.11918850642920603,-0.34275737669995004,0.8989398130230188,0.9630725267987247,0.016341005915522,False,Nr2e3
Pou5f1_618,0.033697548197044555,0.0717123222378435,-0.03801477404079895,-0.39854737221012704,0.07410111713143246,0.7717583869791346,0.9254722151008488,0.03363661527900511,False,Pou5f1
Rara_685,-0.654590519850147,-0.6161505096458874,-0.03844001020425969,0.042172783531808956,-1.4554968672819235,0.8622958618052714,0.9515897711156506,0.021550234953292672,False,Rara
Obox1_558,0.25456030154811293,0.29353477771352743,-0.038974476165414496,-0.09457505960512531,0.3494191111185658,0.8305673255448448,0.945431623453903,0.02436987520653854,False,Obox1
NP_603,0.018019257598949925,0.058225274624303366,-0.04020601702535344,-0.5816857079925282,0.053976368864456344,0.6676099492919372,0.8935234829673575,0.04889402918058024,False,NP
Arnt_25,-0.19833725973268548,-0.1579413043080383,-0.04039595542464719,0.17551499182038494,-0.2830341760485704,0.9365865935066395,0.9741384144727077,0.011379330214984128,False,Arnt
Nr1i3_658,-0.3071918686742405,-0.2667665550194621,-0.04042531365477836,0.10608736454905465,-0.4879839557662232,0.7574326360562068,0.9236447720658758,0.03449502357872185,False,Nr1i3
Zfp219_816,0.1460578513215295,0.18674660570251148,-0.04068875438098196,-0.16558634644867237,0.22206538117338046,0.979893457685492,0.9934092295156367,0.002871809401102066,False,Zfp219
Lbx2_498,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Lbx2
Lhx2_393,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Lhx2
Rhox9_572,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Rhox9
Rhox6_412,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Rhox6
Arx_500,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Arx
Prrxl1_839,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Prrxl1
Prrx2_519,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Prrx2
Lhx9_424,-0.049860735948991514,-0.008093899662120723,-0.04176683628687079,2.181242385324228,-0.04242309882348962,0.7544270920204627,0.9228913941221194,0.03484940375053408,False,Lhx9
Nr5a1_848,-0.7349482327441632,-0.6913953314009976,-0.043552901343165584,0.048016046867015105,-1.801741132697667,0.8584135333374746,0.9511567040246892,0.021747926714757813,False,Nr5a1
Nr5a2_675,-0.7349482327441632,-0.6913953314009976,-0.043552901343165584,0.048016046867015105,-1.801741132697667,0.8584135333374746,0.9511567040246892,0.021747926714757813,False,Nr5a2
Esrrg_676,-0.7349482327441632,-0.6913953314009976,-0.043552901343165584,0.048016046867015105,-1.801741132697667,0.8584135333374746,0.9511567040246892,0.021747926714757813,False,Esrrg
Zfp524_212,0.022903121314258264,0.06819040107168219,-0.04528727975742392,-0.6373358322457117,0.06425758668367422,0.8903412648953369,0.9630725267987247,0.016341005915522,False,Zfp524
Hes1_39,0.00512675329854254,0.05125070017858359,-0.046123946880041046,-0.9613137036773287,0.04010509929820322,0.7596892061670435,0.924201213571493,0.03423346554350214,False,Hes1
Zscan10_164,-0.3057514946377306,-0.2577884620291723,-0.047963032608558276,0.14854650167409889,-0.47748213667144745,0.7899653278614319,0.9319561660305422,0.03060451393222201,False,Zscan10
NP_592,0.09556565760352681,0.14457285270768466,-0.04900719510415785,-0.31542682548851597,0.1635879385155441,0.6798785513622987,0.8972971231951575,0.04706372462890506,False,NP
Hoxb8_560,0.09556565760352681,0.14457285270768466,-0.04900719510415785,-0.31542682548851597,0.1635879385155441,0.6798785513622987,0.8972971231951575,0.04706372462890506,False,Hoxb8
