,Baso/Eos/Mast,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Naif1_637,-0.17400218070316242,-0.0058938065871458455,-0.1681083741160166,3.6535928241940523,-0.13597910214047246,0.7615338394015925,0.927724925900835,0.03258077472109616,False,Naif1
Arid3a_7,0.40695903269588557,0.5770374271143794,-0.17007839441849387,-0.12234145741898442,0.5772458239922109,0.5932707766150915,0.8550078839452789,0.0680298806658107,False,Arid3a
Zfp110_219,-0.45511342834542834,-0.2846293416116134,-0.17048408673381493,0.22405057655342844,-0.6662817689479416,0.8803545844057823,0.9672564224241983,0.014458377952926028,False,Zfp110
Zfp369_158,-0.45511342834542834,-0.2846293416116134,-0.17048408673381493,0.22405057655342844,-0.6662817689479416,0.8803545844057823,0.9672564224241983,0.014458377952926028,False,Zfp369
Gcm1_388,-0.2064621538297874,-0.03357542756269692,-0.17288672626709045,1.367327689507993,-0.184455377425746,0.5882419085453152,0.8550078839452789,0.0680298806658107,False,Gcm1
Mycl1_50,-0.09245817485336363,0.08046132839976304,-0.17291950325312666,-1.3414225337841499,-0.008679954567535763,0.6050806921330762,0.8649613783814801,0.06300328389966102,False,Mycl1
Mycn_65,-0.09245817485336363,0.08046132839976304,-0.17291950325312666,-1.3414225337841499,-0.008679954567535763,0.6050806921330762,0.8649613783814801,0.06300328389966102,False,Mycn
Mycs_76,-0.09245817485336363,0.08046132839976304,-0.17291950325312666,-1.3414225337841499,-0.008679954567535763,0.6050806921330762,0.8649613783814801,0.06300328389966102,False,Mycs
Prdm11_650,-0.08449803614286516,0.0890409059344507,-0.17353894207731585,-1.1685230507426854,0.003273271753771646,0.9941888883084228,0.9998570119589839,6.210335731596444e-05,False,Prdm11
Cebpd_97,-0.12975405408581964,0.04386815629678453,-0.17362221038260417,,-0.0633231671523443,0.9284252550300593,0.9702263921048724,0.013126915867843793,False,Cebpd
Cebpb_130,-0.12975405408581964,0.04386815629678453,-0.17362221038260417,,-0.0633231671523443,0.9284252550300593,0.9702263921048724,0.013126915867843793,False,Cebpb
NP_604,0.11354460779452437,0.2891302919216193,-0.17558568412709497,-0.2874058836254262,0.26464145400381145,0.7670895760780432,0.9319187411857218,0.030621954376890092,False,NP
Hif3a_869,-0.5853476686166295,-0.4092165820090962,-0.17613108660753324,0.17692753048076665,-0.9921791083326396,0.5090326961979315,0.817790233236021,0.08735808047406579,False,Hif3a
Otp_436,0.07503771359200676,0.252614387422009,-0.17757667383000222,-0.34804192308219334,0.21887544413592663,0.8536149061082089,0.963374691773784,0.016204766955945315,False,Otp
Tcfap2a_1,-0.08649513228232236,0.09119940432399906,-0.17769453660632142,-1.2752798937400789,0.003389430333017393,0.988378084858826,0.998567549651185,0.000622551275514748,False,Tcfap2a
Evx2_407,-0.11443414752566228,0.06415303353832735,-0.17858718106398963,-2.646398143264702,-0.036733871405298844,0.6515865715263348,0.8868463199214094,0.052151631794671895,False,Evx2
Tcfl5_71,-0.19326420600813526,-0.012212458777614633,-0.18105174723052064,2.7407990519357175,-0.15639931653450828,0.37948748462081394,0.7198020676033503,0.1427869101873641,False,Tcfl5
Sox5_738,-0.2095705731207717,-0.026722017147613967,-0.18284855597315774,1.7743592934692523,-0.18138875517086825,0.6272880116365411,0.8768114520815045,0.057093786479090775,False,Sox5
Sox8_731,-0.2095705731207717,-0.026722017147613967,-0.18284855597315774,1.7743592934692523,-0.18138875517086825,0.6272880116365411,0.8768114520815045,0.057093786479090775,False,Sox8
Hoxd13_408,-0.09370656814615205,0.09134371504464292,-0.18505028319079497,-1.576693004006693,-0.0017054458539391588,0.5519800327902853,0.8336410769195747,0.07902089404456822,False,Hoxd13
Gcm2_835,-0.1839990852811578,0.0024488230720645194,-0.1864479083532223,,-0.1372909499512758,0.926496211987946,0.9702263921048724,0.013126915867843793,False,Gcm2
Maz_807,-0.17859752243196764,0.007991342254145651,-0.1865888646861133,,-0.12863431761703406,0.5043711805672204,0.8117798928107454,0.09056171003953538,False,Maz
Gli1_801,-0.26357896750000154,-0.07570806356291061,-0.18787090393709094,0.9108139504485787,-0.2681972548601796,0.5932707766150915,0.8550078839452789,0.0680298806658107,False,Gli1
Gli2_815,-0.26357896750000154,-0.07570806356291061,-0.18787090393709094,0.9108139504485787,-0.2681972548601796,0.5932707766150915,0.8550078839452789,0.0680298806658107,False,Gli2
Esrra_674,-0.7985039543346731,-0.6104065689544629,-0.18809738538021026,0.14665068629020833,-1.7585515586703957,0.634190813275086,0.8822654531681796,0.05440072609137848,False,Esrra
Pit1_622,-0.16346304978539236,0.025837284457928884,-0.18930033424332124,,-0.10285699570865105,0.43580079301493435,0.7666770299685667,0.11538754823109894,False,Pit1
Hes2_51,-0.0575676362378717,0.13409849354736206,-0.19166612978523376,-1.013138022326414,0.05417531041265183,0.634190813275086,0.8822654531681796,0.05440072609137848,False,Hes2
Vsx2_431,-0.107727581802627,0.08402754301677465,-0.19175512481940166,-2.3163285551460446,-0.017198065368385508,0.5422844270943419,0.8232269616130973,0.08448041437773816,False,Vsx2
Lhx5_471,0.09195318144050935,0.2848518120345718,-0.19289863059406248,-0.4029218892317951,0.24902354127476042,0.9400079532800307,0.9774009636374978,0.009927237128758008,False,Lhx5
Tbx18_866,-0.15747019077485588,0.037530697310729944,-0.19500088808558583,,-0.08922090667445327,0.8308270946242415,0.9578947679197138,0.018682198877653055,False,Tbx18
Tbx15_864,-0.15747019077485588,0.037530697310729944,-0.19500088808558583,,-0.08922090667445327,0.8308270946242415,0.9578947679197138,0.018682198877653055,False,Tbx15
Tbx22_865,-0.15747019077485588,0.037530697310729944,-0.19500088808558583,,-0.08922090667445327,0.8308270946242415,0.9578947679197138,0.018682198877653055,False,Tbx22
Vax2_497,-0.022151588567564495,0.17354291218527806,-0.19569450075284256,-0.7713042357921897,0.10526996515830152,0.6428642139595875,0.8855785585865615,0.05277290703478551,False,Vax2
Atf5_791,-0.2829552556034223,-0.0869405002295005,-0.19601475537392177,0.8949914301866773,-0.2950357731301343,0.8327209328697326,0.9585040167400282,0.018406062812653813,False,Atf5
Cebpg_129,-0.30201599923541533,-0.10434948960077386,-0.19766650963464147,0.7903758533855764,-0.3276792046690101,0.9053077251663126,0.969054578704922,0.013651762100047303,False,Cebpg
Hoxa13_506,-0.05742297484885439,0.14142536162245276,-0.19884833647130715,-1.085695408236191,0.05935692991222843,0.4859525684735514,0.8026407591641804,0.09547878999137693,False,Hoxa13
Hoxd8_460,-0.1301978118174215,0.06903916783117021,-0.19923697964859172,,-0.04480523897701683,0.6515865715263348,0.8868463199214094,0.052151631794671895,False,Hoxd8
Nr4a1_847,-0.6276105565320365,-0.42404171525899476,-0.2035688412730417,0.2520553688419918,-1.0765119494988813,0.5552307156304149,0.8352893354267971,0.07816306342218057,False,Nr4a1
NP_601,0.17166617200821724,0.3763850569615903,-0.20471888495337306,-0.35101468561632837,0.3493942834959883,0.7012878813401913,0.913642409663292,0.03922374944929061,False,NP
Sox12_741,-0.2508443017788853,-0.045713384474292094,-0.20513091730459318,1.5254929057625812,-0.23154690791093302,0.43866573199116843,0.7676650309845447,0.11482824211601728,False,Sox12
Emx1_491,-0.13764721209923694,0.06999465418495429,-0.20764186628419123,,-0.04964548144332376,0.868876168320824,0.9672564224241983,0.014458377952926028,False,Emx1
Foxm1_880,-0.03831774345797289,0.17536047815529435,-0.21367822161326724,-1.0328759489975672,0.09561575803022407,0.4372319116487404,0.7666770299685667,0.11538754823109894,False,Foxm1
Irf5_635,-0.1828738831480386,0.0330416771167892,-0.2159155602648278,,-0.11234388355613488,0.5184230055514891,0.8189948290313548,0.08671884027894443,False,Irf5
Stat6_753,-0.42049242611026705,-0.2042670794781071,-0.21622534663215995,0.5468596232622128,-0.5403160688128704,0.5168517595565778,0.8189948290313548,0.08671884027894443,False,Stat6
Foxq1_309,-0.05695641269010704,0.1600177996626879,-0.21697421235279493,-1.2516212116387735,0.07249096199948882,0.7912995924779663,0.9476050605978266,0.023372628633271417,False,Foxq1
Zkscan4_216,-0.20951687604454916,0.007487208730145295,-0.21700408477469446,,-0.1536307840644816,0.5199967168453046,0.8189948290313548,0.08671884027894443,False,Zkscan4
Zkscan3_156,-0.20951687604454916,0.007487208730145295,-0.21700408477469446,,-0.1536307840644816,0.5199967168453046,0.8189948290313548,0.08671884027894443,False,Zkscan3
NP_591,0.11271746558210505,0.33149618893147315,-0.2187787233493681,-0.4884223700381929,0.2893704000645349,0.8157126327144797,0.9554562311476377,0.01978920291188714,False,NP
Hoxb9_428,0.11271746558210505,0.33149618893147315,-0.2187787233493681,-0.4884223700381929,0.2893704000645349,0.8157126327144797,0.9554562311476377,0.01978920291188714,False,Hoxb9
Rfx5_704,-0.059151759012385785,0.1682374884336071,-0.2273892474459929,-1.3703319643678191,0.07661773851573903,0.35498253803023294,0.6830645625962998,0.16553824528750016,False,Rfx5
NP_597,-0.11487298676493346,0.11397505569240862,-0.22884804245734208,-3.517533891749117,-0.0006478657982885554,0.5358682099080296,0.8225970477807688,0.0848128534638753,False,NP
Dmrta1_253,-0.12000391336518296,0.11005296586793435,-0.2300568792331173,-4.48723853075776,-0.007196007959577571,0.5184230055514891,0.8189948290313548,0.08671884027894443,False,Dmrta1
Foxp1_302,-0.23295790786563722,-0.002321730088758683,-0.23063617777687853,8.390402342966699,-0.18056040814793273,0.5121528670196656,0.8189948290313548,0.08671884027894443,False,Foxp1
Lmx1a_456,0.10287074483504144,0.3378543827674331,-0.2349836379323917,-0.5767010117328336,0.2873098291731805,0.5849003125924876,0.8550078839452789,0.0680298806658107,False,Lmx1a
Sox17_733,-0.42360881806826833,-0.1848992323298163,-0.23870958573845202,0.7072077498340359,-0.5233674379370127,0.4077506259762924,0.7475008346661669,0.12638831806613054,False,Sox17
Ppard_656,-0.4806431633121454,-0.2390268762519709,-0.24161628706017452,0.5853797760179101,-0.6434843374787078,0.4372319116487404,0.7666770299685667,0.11538754823109894,False,Ppard
Gm5294_351,-0.22534363589751813,0.01821386738265592,-0.24355750328017406,,-0.15772893073854352,0.6238487563857729,0.8768114520815045,0.057093786479090775,False,Gm5294
Foxl1_377,-0.22534363589751813,0.01821386738265592,-0.24355750328017406,,-0.15772893073854352,0.6238487563857729,0.8768114520815045,0.057093786479090775,False,Foxl1
Vdr_671,-0.28891254564189894,-0.04164854908913441,-0.24726399655276454,2.0475863029732233,-0.26063670245298176,0.44010225067585207,0.7686538318734684,0.1142692034432018,False,Vdr
Runx2_713,0.1876707422557818,0.435982165012318,-0.24831142275653623,-0.48622789598424593,0.3915768731249961,0.735773531789617,0.9198628092666976,0.03627693963408237,False,Runx2
NP_588,-0.3226849864959219,-0.07101586038565268,-0.25166912611026926,1.518203459700695,-0.3162593982225369,0.8669657153763553,0.9667051339594758,0.014705974958006641,False,NP
Max_91,-0.14906977409184843,0.10410022566807998,-0.25316999975992843,,-0.032808920858232025,0.5105915356867902,0.8188031535922707,0.08682049333600497,False,Max
Hmx3_520,-0.3841159877884514,-0.12932686801370677,-0.2547891197747446,1.025061151213323,-0.4280250775776738,0.556859556951198,0.8352893354267971,0.07816306342218057,False,Hmx3
NP_590,-0.3841159877884514,-0.12932686801370677,-0.2547891197747446,1.025061151213323,-0.4280250775776738,0.556859556951198,0.8352893354267971,0.07816306342218057,False,NP
Nr4a2_677,-0.787214079984234,-0.5323023346863646,-0.2549117452978694,0.3204825855777593,-1.5553677335247194,0.394138668262933,0.7365048843387858,0.13282436866609082,False,Nr4a2
Stat4_759,0.046510708684876285,0.30484573531013387,-0.2583350266252576,-0.8392148749882116,0.23349325485863393,0.646347338611505,0.8865915282353769,0.05227642288803341,False,Stat4
Zic1_181,-0.0961389975756123,0.16305529674522762,-0.2591942943208399,-2.5157561217442423,0.04747996727429691,0.7431047955831176,0.9231245488793094,0.03473969957880207,False,Zic1
Foxa2_307,-0.1574566528462694,0.103712677791495,-0.2611693306377644,,-0.03929849459670521,0.49205138257717296,0.8076804171687919,0.09276044679384127,False,Foxa2
Emx2_535,-0.17661485024792545,0.08811890935598266,-0.2647337596039081,,-0.065291736239237,0.7030883830161394,0.9142446258988597,0.03893758384671878,False,Emx2
Lhx1_422,0.013757013196900683,0.2805778506188851,-0.2668208374219844,-1.0260876954690006,0.19807597161067372,0.6515865715263348,0.8868463199214094,0.052151631794671895,False,Lhx1
Cenpb_243,-0.2967318102676866,-0.02863181687460691,-0.26809999339307966,2.6889345372310554,-0.25615213429610983,0.5716229853245631,0.8473470135399406,0.07193869686876907,False,Cenpb
Cebpa_115,-0.334477551864827,-0.061251825828727256,-0.2732257260360998,1.8218641333613854,-0.3180824713446778,0.7339444396442207,0.9198628092666976,0.03627693963408237,False,Cebpa
Pparg_653,-0.4124900545330685,-0.1385991995461886,-0.2738908549868799,1.073563018502802,-0.4650312735547781,0.3914496508429858,0.734592749028752,0.13395336277583683,False,Pparg
Msx1_543,-0.0016982812194535901,0.27223636805601215,-0.27393464927546574,-1.1532269973414495,0.18303423725965606,0.33635907939076204,0.6794441690533485,0.16784622409444797,False,Msx1
Isl2_489,-0.0016982812194535901,0.27223636805601215,-0.27393464927546574,-1.1532269973414495,0.18303423725965606,0.33635907939076204,0.6794441690533485,0.16784622409444797,False,Isl2
Isl1_529,-0.0016982812194535901,0.27223636805601215,-0.27393464927546574,-1.1532269973414495,0.18303423725965606,0.33635907939076204,0.6794441690533485,0.16784622409444797,False,Isl1
Evx1_410,-0.3537093278846409,-0.07928315940639116,-0.27442616847824974,1.5652892279196864,-0.3519879034556267,0.5832328303026656,0.8550078839452789,0.0680298806658107,False,Evx1
Nkx62_838,0.08546085376078155,0.3607633591630639,-0.27530250540228235,-0.7854768307154323,0.2905566426423807,0.501276056954187,0.808273276478232,0.09244177981817343,False,Nkx62
Dbx1_480,0.08546085376078155,0.3607633591630639,-0.27530250540228235,-0.7854768307154323,0.2905566426423807,0.501276056954187,0.808273276478232,0.09244177981817343,False,Dbx1
Mbd2_641,-0.226967730722492,0.04879935215806611,-0.2757670828805581,,-0.13461037244354482,0.25689797660889035,0.6157174330680469,0.21061854987112547,False,Mbd2
Nr1i3_658,-0.5174701775340267,-0.2410786480232488,-0.2763915295107779,0.7150977431718051,-0.6879724777317396,0.3600566861286697,0.6873809462456422,0.16280251039353322,False,Nr1i3
Foxn3_829,-0.1805800575058289,0.09793242998682965,-0.27851248749265856,,-0.06088449903249928,0.38080540323682366,0.7207518576284946,0.14221422961021596,False,Foxn3
